"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.18","224.0.0.251","MDNS","101","Standard query 0x0000 SRV Roku 3   1GJ37V014681._airplay._tcp.local, ""QU"" question"
"2","0.000000452","192.168.1.18","224.0.0.251","MDNS","182","Standard query response 0x0000 SRV, cache flush 0 0 7000 1GJ37V014681.local A, cache flush 192.168.1.18 NSEC, cache flush Roku 3   1GJ37V014681._airplay._tcp.local NSEC, cache flush 1GJ37V014681.local"
"3","6.756179309","192.168.1.10","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question"
"4","8.029799724","192.168.1.12","157.240.221.60","TLSv1.2","135","Application Data"
"5","8.109784704","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=1 Ack=70 Win=325 Len=0 TSval=2015792411 TSecr=2063530553"
"6","8.292459927","157.240.221.60","192.168.1.12","TLSv1.2","137","Application Data"
"7","8.292496506","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=70 Ack=72 Win=501 Len=0 TSval=2063530816 TSecr=2015792526"
"8","9.101839674","192.168.1.12","157.240.221.60","TLSv1.2","132","Application Data"
"9","9.178415252","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=72 Ack=136 Win=325 Len=0 TSval=2015793480 TSecr=2063531626"
"10","9.278210657","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=72 Ack=136 Win=325 Len=1380 TSval=2015793580 TSecr=2063531626 [TCP segment of a reassembled PDU]"
"11","9.278257243","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=136 Ack=1452 Win=493 Len=0 TSval=2063531802 TSecr=2015793580"
"12","9.278651205","157.240.221.60","192.168.1.12","TLSv1.2","416","Application Data, Application Data"
"13","9.278675077","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=136 Ack=1802 Win=493 Len=0 TSval=2063531802 TSecr=2015793580"
"14","9.730970747","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"15","9.808792725","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=1802 Ack=232 Win=325 Len=0 TSval=2015794111 TSecr=2063532255"
"16","14.743223953","20.199.120.85","192.168.1.12","TCP","60","443  >  55954 [FIN, ACK] Seq=1 Ack=1 Win=7969 Len=0"
"17","14.743998918","192.168.1.12","20.199.120.85","TCP","54","55954  >  443 [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0"
"18","14.825939814","20.199.120.85","192.168.1.12","TCP","60","443  >  55954 [ACK] Seq=2 Ack=2 Win=7969 Len=0"
"19","15.748354294","192.168.1.12","213.57.2.5","DNS","93","Standard query 0xc52f AAAA client.wns.windows.com OPT"
"20","15.748481054","192.168.1.12","213.57.2.5","DNS","93","Standard query 0x8c02 A client.wns.windows.com OPT"
"21","15.769169421","213.57.2.5","192.168.1.12","DNS","152","Standard query response 0x8c02 A client.wns.windows.com CNAME wns.notify.trafficmanager.net A 20.199.120.85 OPT"
"22","15.769655672","213.57.2.5","192.168.1.12","DNS","194","Standard query response 0xc52f AAAA client.wns.windows.com CNAME wns.notify.trafficmanager.net SOA tm1.dns-tm.com OPT"
"23","15.769962093","192.168.1.12","213.57.2.5","DNS","100","Standard query 0x1c2e AAAA wns.notify.trafficmanager.net OPT"
"24","15.828120100","213.57.2.5","192.168.1.12","DNS","161","Standard query response 0x1c2e AAAA wns.notify.trafficmanager.net SOA tm1.dns-tm.com OPT"
"25","15.828674652","192.168.1.12","20.199.120.85","TCP","74","43642  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2688765495 TSecr=0 WS=128"
