"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","253","Server Hello, Application Data"
"3","0.058330134","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","253","Server Hello, Application Data"
"7","0.161005120","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","257","Application Data"
"10","0.161660184","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f273:c8:face:b00c:0:167","TLSv1.2","937","Ignored Unknown Record"
"12","0.162315387","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","257","Application Data"
"17","0.402244887","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","836","Application Data"
"19","0.402946672","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.3","836","Application Data"
"31","1.046898228","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","2848","[TCP Previous segment not captured] , Ignored Unknown Record"
"32","1.046898557","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","4142","Ignored Unknown Record"
"33","1.046898606","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","4174","Application Data"
"39","1.048865742","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"41","1.053579160","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1547","Application Data"
"45","1.055020807","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"51","1.059507781","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"57","1.065940487","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"62","1.072527335","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"64","1.074966507","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"67","1.078032511","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"72","1.084277045","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"77","1.090506917","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"82","1.099062290","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","2848","Application Data, Application Data"
"84","1.100180306","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","2848","Application Data [TCP segment of a reassembled PDU]"
"89","1.106469406","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1372","Application Data, Application Data"
"97","1.422161378","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","366","Application Data"
"108","1.717228272","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","668","Client Hello"
"111","1.938464649","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","668","Client Hello"
"113","1.980253903","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","230","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"115","1.980541212","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","127","Change Cipher Spec, Encrypted Handshake Message"
"116","1.980770849","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","181","Application Data"
"117","1.980990589","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","2208","Application Data"
"118","1.981205341","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","1277","Application Data"
"122","2.247108996","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","145","Application Data"
"123","2.247118654","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","6023","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"125","2.250534835","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","234","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"126","2.250728271","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a01:111:202c::239","TLSv1.2","114","Application Data"
"128","2.551264550","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","504","Application Data, Application Data"
"129","2.553555969","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","214","Application Data"
"130","2.553556100","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","114","Application Data"
"134","2.629345636","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","418","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"135","2.629345813","2a01:111:202c::239","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","145","Application Data"
"139","3.146930317","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f273:c8:face:b00c:0:167","TLSv1.2","154","Application Data"
"144","5.441336477","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f273:c8:face:b00c:0:167","TLSv1.2","112","Application Data"
"148","5.534638356","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","112","Application Data"
"154","5.983224225","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f273:c8:face:b00c:0:167","TLSv1.2","1516","Application Data"
"161","6.341431736","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"162","6.341432013","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","2848","Application Data [TCP segment of a reassembled PDU]"
"163","6.341432059","2a03:2880:f273:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","2762","Application Data"
