"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.919979888","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","156","Application Data"
"11","3.079813051","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","956","Application Data"
"16","3.378217563","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","197","Application Data"
"18","3.685451145","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","180","Application Data"
"20","3.692586231","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","179","Application Data"
"22","6.249262468","149.154.167.92","192.168.1.12","SSL","539","Continuation Data"
"24","6.249897520","192.168.1.12","149.154.167.92","SSL","347","Continuation Data"
"32","11.877528020","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","275","Application Data"
"34","12.332854934","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","158","Application Data"
"65","18.636419954","149.154.167.92","192.168.1.12","SSL","622","Continuation Data"
"67","19.142004138","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","152","Application Data"
"71","21.751386985","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","155","Application Data"
"73","21.906822971","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","157","Application Data"
"75","22.221202250","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","182","Application Data"
"77","22.228606871","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"83","23.889613013","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","152","Application Data"
"89","25.500930304","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","156","Application Data"
"99","26.756704448","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TCP","2846","58318  >  443 [PSH, ACK] Seq=6992 Ack=562 Win=637 Len=2760 TSval=3982206075 TSecr=4040713775 [TCP segment of a reassembled PDU]"
"100","26.756736147","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","1512","Application Data"
"103","27.033624458","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","197","Application Data"
"105","27.345662636","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","180","Application Data"
"107","27.362577750","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","179","Application Data"
"113","29.037355305","192.168.1.12","149.154.167.92","SSL","379","Continuation Data"
"115","29.118539503","149.154.167.92","192.168.1.12","SSL","155","Continuation Data"
"117","29.799064886","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","270","Application Data"
"119","30.004684690","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","175","Application Data"
"123","36.680788766","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","182","Application Data"
