"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.12","157.240.221.60","TLSv1.2","134","Application Data"
"2","0.073619310","157.240.221.60","192.168.1.12","TCP","68","443  >  57704 [ACK] Seq=1 Ack=67 Win=346 Len=0 TSval=3347214885 TSecr=1284306637"
"4","0.524901118","192.168.1.12","157.240.221.60","TLSv1.2","134","Application Data"
"5","0.600272744","157.240.221.60","192.168.1.12","TCP","68","443  >  57704 [ACK] Seq=1 Ack=133 Win=346 Len=0 TSval=3347215411 TSecr=1284307162"
"17","1.648373580","192.168.1.12","157.240.221.60","TLSv1.2","2720","Application Data"
"19","1.725937764","157.240.221.60","192.168.1.12","TCP","68","443  >  57704 [ACK] Seq=1 Ack=1513 Win=356 Len=0 TSval=3347216538 TSecr=1284308285"
"20","1.726337262","157.240.221.60","192.168.1.12","TCP","68","443  >  57704 [ACK] Seq=1 Ack=2785 Win=367 Len=0 TSval=3347216538 TSecr=1284308285"
"21","1.956386467","157.240.221.60","192.168.1.12","TLSv1.2","179","Application Data"
"22","1.956432684","192.168.1.12","157.240.221.60","TCP","68","57704  >  443 [ACK] Seq=2785 Ack=112 Win=501 Len=0 TSval=1284308593 TSecr=3347216741"
"23","2.263278900","157.240.221.60","192.168.1.12","TLSv1.2","165","Application Data"
"24","2.263320490","192.168.1.12","157.240.221.60","TCP","68","57704  >  443 [ACK] Seq=2785 Ack=209 Win=501 Len=0 TSval=1284308900 TSecr=3347217024"
"25","2.267693571","192.168.1.12","157.240.221.60","TLSv1.2","164","Application Data"
"26","2.344426408","157.240.221.60","192.168.1.12","TCP","68","443  >  57704 [ACK] Seq=209 Ack=2881 Win=367 Len=0 TSval=3347217156 TSecr=1284308905"
"27","2.430109434","157.240.221.60","192.168.1.12","TLSv1.2","162","Application Data"
"28","2.434443050","192.168.1.12","157.240.221.60","TLSv1.2","161","Application Data"
"29","2.525100382","157.240.221.60","192.168.1.12","TCP","68","443  >  57704 [ACK] Seq=303 Ack=2974 Win=367 Len=0 TSval=3347217320 TSecr=1284309071"
