"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.304433164","140.82.113.26","192.168.1.12","TLSv1.2","91","Application Data"
"4","0.304696660","192.168.1.12","140.82.113.26","TLSv1.2","95","Application Data"
"5","0.393249830","2606:4700::6812:3a2","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.2","125","Application Data"
"6","0.393475699","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2606:4700::6812:3a2","TCP","86","33082  >  443 [FIN, ACK] Seq=1 Ack=40 Win=501 Len=0 TSval=3512531495 TSecr=1347043884"
"7","0.393732373","2606:4700::6812:3a2","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","443  >  33082 [FIN, ACK] Seq=40 Ack=1 Win=8 Len=0 TSval=1347043885 TSecr=3512131534"
"8","0.393741726","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2606:4700::6812:3a2","TCP","86","33082  >  443 [ACK] Seq=2 Ack=41 Win=501 Len=0 TSval=3512531495 TSecr=1347043885"
"9","0.410096793","2606:4700::6812:3a2","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","443  >  33082 [ACK] Seq=41 Ack=2 Win=7 Len=0 TSval=1347043902 TSecr=3512531495"
"10","0.454363929","140.82.113.26","192.168.1.12","TCP","66","443  >  48184 [ACK] Seq=26 Ack=30 Win=70 Len=0 TSval=1909205989 TSecr=3821916037"
"18","6.244073439","157.240.221.60","192.168.1.12","TLSv1.2","1440","Application Data"
"19","6.267281845","192.168.1.12","157.240.221.60","TLSv1.2","2465","Application Data"
"20","6.345816224","192.168.1.12","157.240.221.60","TLSv1.2","140","Application Data"
"23","6.351635337","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=1375 Ack=2400 Win=354 Len=0 TSval=2016026581 TSecr=2063764722"
"26","6.373702312","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","94","43262  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=3910015484 TSecr=0 WS=128"
"27","6.390914821","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","94","443  >  43262 [SYN, ACK] Seq=0 Ack=1 Win=31740 Len=0 MSS=1392 SACK_PERM=1 TSval=1756405120 TSecr=3910015484 WS=256"
"28","6.390945839","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=3910015502 TSecr=1756405120"
"29","6.391892064","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TLSv1.3","792","Client Hello"
"30","6.435461662","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","443  >  43262 [ACK] Seq=1 Ack=707 Win=31232 Len=0 TSval=1756405159 TSecr=3910015503"
"31","6.444254343","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","251","Server Hello, Application Data"
"33","6.444277646","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=707 Ack=166 Win=64768 Len=0 TSval=3910015555 TSecr=1756405160"
"34","6.444579374","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TLSv1.3","92","Change Cipher Spec"
"35","6.444691755","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TLSv1.3","144","Application Data"
"36","6.445966606","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TLSv1.3","684","Application Data"
"37","6.458273734","192.168.1.12","157.240.221.60","TLSv1.2","159","Application Data"
"38","6.461346901","157.240.221.60","192.168.1.12","TLSv1.2","129","Application Data"
"39","6.465749889","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","443  >  43262 [ACK] Seq=166 Ack=1369 Win=31488 Len=0 TSval=1756405197 TSecr=3910015555"
"40","6.466263320","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","267","Application Data"
"41","6.493124284","157.240.221.60","192.168.1.12","TLSv1.2","342","Application Data"
"42","6.493162851","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=2567 Ack=1714 Win=803 Len=0 TSval=2063764948 TSecr=2016026695"
"43","6.506467182","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=347 Win=64640 Len=0 TSval=3910015617 TSecr=1756405197"
"44","6.551948358","157.240.221.60","192.168.1.12","TLSv1.2","1069","Application Data"
"45","6.606486512","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=2567 Ack=2717 Win=825 Len=0 TSval=2063765061 TSecr=2016026782"
"46","6.675724994","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","679","Application Data"
"47","6.675751493","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=940 Win=64128 Len=0 TSval=3910015787 TSecr=1756405407"
"48","6.677564587","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1324","Application Data"
"49","6.677584682","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=2178 Win=63104 Len=0 TSval=3910015788 TSecr=1756405407"
"50","6.678831804","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [ACK] Seq=2178 Ack=1369 Win=31488 Len=1380 TSval=1756405407 TSecr=3910015617 [TCP segment of a reassembled PDU]"
"51","6.678844442","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=3558 Win=63104 Len=0 TSval=3910015790 TSecr=1756405407"
"52","6.679787094","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"53","6.679798414","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=4938 Win=63104 Len=0 TSval=3910015791 TSecr=1756405407"
"54","6.680507843","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","361","Application Data"
"55","6.680519486","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=5213 Win=63104 Len=0 TSval=3910015791 TSecr=1756405407"
"56","6.681484095","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [ACK] Seq=5213 Ack=1369 Win=31488 Len=1380 TSval=1756405408 TSecr=3910015617 [TCP segment of a reassembled PDU]"
"57","6.681495644","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=6593 Win=63104 Len=0 TSval=3910015792 TSecr=1756405408"
"58","6.682689347","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"59","6.682697319","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=7973 Win=63104 Len=0 TSval=3910015793 TSecr=1756405408"
"60","6.683595863","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"61","6.683604444","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=9353 Win=63104 Len=0 TSval=3910015794 TSecr=1756405408"
"62","6.684462059","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1153","Application Data"
"63","6.684470588","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=10420 Win=63104 Len=0 TSval=3910015795 TSecr=1756405408"
"64","6.685607344","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [ACK] Seq=10420 Ack=1369 Win=31488 Len=1380 TSval=1756405411 TSecr=3910015617 [TCP segment of a reassembled PDU]"
"65","6.685616739","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=11800 Win=63104 Len=0 TSval=3910015796 TSecr=1756405411"
"66","6.686849909","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [PSH, ACK] Seq=11800 Ack=1369 Win=31488 Len=1380 TSval=1756405411 TSecr=3910015617 [TCP segment of a reassembled PDU]"
"67","6.686849974","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1412","Application Data"
"68","6.686855307","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=13180 Win=63104 Len=0 TSval=3910015798 TSecr=1756405411"
"69","6.686920853","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=14506 Win=64128 Len=0 TSval=3910015798 TSecr=1756405413"
"70","6.689127511","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [ACK] Seq=14506 Ack=1369 Win=31488 Len=1380 TSval=1756405421 TSecr=3910015787 [TCP segment of a reassembled PDU]"
"71","6.689995932","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [PSH, ACK] Seq=15886 Ack=1369 Win=31488 Len=1380 TSval=1756405421 TSecr=3910015787 [TCP segment of a reassembled PDU]"
"72","6.690057535","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=17266 Win=64128 Len=0 TSval=3910015801 TSecr=1756405421"
"73","6.690994507","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"74","6.691725126","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [PSH, ACK] Seq=18646 Ack=1369 Win=31488 Len=1380 TSval=1756405422 TSecr=3910015790 [TCP segment of a reassembled PDU]"
"75","6.691795474","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=20026 Win=64128 Len=0 TSval=3910015803 TSecr=1756405422"
"76","6.693417653","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"77","6.694179709","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"78","6.694246202","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=22786 Win=63104 Len=0 TSval=3910015805 TSecr=1756405425"
"79","6.696634707","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"80","6.697406185","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"81","6.697415395","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=25546 Win=63104 Len=0 TSval=3910015808 TSecr=1756405428"
"82","6.699309150","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [ACK] Seq=25546 Ack=1369 Win=31488 Len=1380 TSval=1756405430 TSecr=3910015795 [TCP segment of a reassembled PDU]"
"83","6.700002341","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"84","6.700014208","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=28306 Win=63104 Len=0 TSval=3910015811 TSecr=1756405430"
"85","6.701782584","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","1466","443  >  43262 [ACK] Seq=28306 Ack=1369 Win=31488 Len=1380 TSval=1756405432 TSecr=3910015795 [TCP segment of a reassembled PDU]"
"86","6.702570436","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"87","6.702581775","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=31066 Win=63104 Len=0 TSval=3910015813 TSecr=1756405432"
"88","6.705656601","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","2846","443  >  43262 [PSH, ACK] Seq=31066 Ack=1369 Win=31488 Len=2760 TSval=1756405434 TSecr=3910015795 [TCP segment of a reassembled PDU]"
"89","6.705752104","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=33826 Win=64128 Len=0 TSval=3910015817 TSecr=1756405434"
"90","6.707505535","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","2846","Application Data, Application Data"
"91","6.707505691","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","2846","Application Data [TCP segment of a reassembled PDU]"
"92","6.707583508","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=39346 Win=58624 Len=0 TSval=3910015818 TSecr=1756405435"
"93","6.708685942","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","2846","443  >  43262 [PSH, ACK] Seq=39346 Ack=1369 Win=31488 Len=2760 TSval=1756405438 TSecr=3910015801 [TCP segment of a reassembled PDU]"
"94","6.708697195","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=42106 Win=61056 Len=0 TSval=3910015819 TSecr=1756405438"
"95","6.709843540","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"96","6.710691618","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1466","Application Data [TCP segment of a reassembled PDU]"
"97","6.710703966","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=44866 Win=63104 Len=0 TSval=3910015821 TSecr=1756405439"
"98","6.711622365","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.3","1169","Application Data"
"99","6.711724596","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","43262  >  443 [ACK] Seq=1369 Ack=45949 Win=64128 Len=0 TSval=3910015822 TSecr=1756405440"
"100","6.727566149","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","[TCP Dup ACK 39#1] 443  >  43262 [ACK] Seq=45949 Ack=1369 Win=31488 Len=0 TSval=1756405460 TSecr=3910015822"
"101","6.802496314","192.168.1.12","157.240.221.60","TLSv1.2","138","Application Data"
"102","6.960413835","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=2717 Ack=2639 Win=354 Len=0 TSval=2016027150 TSecr=2063765257"
"103","10.134942481","157.240.221.60","192.168.1.12","TLSv1.2","159","Application Data"
"104","10.134984192","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=2639 Ack=2810 Win=825 Len=0 TSval=2063768590 TSecr=2016030226"
"105","10.140354483","192.168.1.12","157.240.221.60","TLSv1.2","158","Application Data"
"106","10.216375855","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=2810 Ack=2731 Win=354 Len=0 TSval=2016030451 TSecr=2063768595"
"108","11.364029818","20.199.120.85","192.168.1.12","TCP","60","443  >  55044 [FIN, ACK] Seq=1 Ack=1 Win=7969 Len=0"
"109","11.364713099","192.168.1.12","20.199.120.85","TCP","54","55044  >  443 [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0"
"110","11.443696961","20.199.120.85","192.168.1.12","TCP","60","443  >  55044 [ACK] Seq=2 Ack=2 Win=7969 Len=0"
"111","12.369090699","192.168.1.12","20.199.120.85","TCP","74","53760  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2688997967 TSecr=0 WS=128"
"112","12.451391131","20.199.120.85","192.168.1.12","TCP","66","443  >  53760 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=1 SACK_PERM=1"
"113","12.451446674","192.168.1.12","20.199.120.85","TCP","54","53760  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"114","12.451873489","192.168.1.12","20.199.120.85","TLSv1.2","571","Client Hello"
"115","12.545090809","20.199.120.85","192.168.1.12","TCP","1514","443  >  53760 [PSH, ACK] Seq=1 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"116","12.545154332","192.168.1.12","20.199.120.85","TCP","54","53760  >  443 [ACK] Seq=518 Ack=1461 Win=63104 Len=0"
"117","12.545871405","20.199.120.85","192.168.1.12","TCP","1514","443  >  53760 [PSH, ACK] Seq=1461 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"118","12.545893148","192.168.1.12","20.199.120.85","TCP","54","53760  >  443 [ACK] Seq=518 Ack=2921 Win=63104 Len=0"
"119","12.548122483","20.199.120.85","192.168.1.12","TCP","1514","443  >  53760 [PSH, ACK] Seq=2921 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"120","12.548153473","192.168.1.12","20.199.120.85","TCP","54","53760  >  443 [ACK] Seq=518 Ack=4381 Win=63104 Len=0"
"121","12.548851215","20.199.120.85","192.168.1.12","TCP","1514","443  >  53760 [PSH, ACK] Seq=4381 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"122","12.548872775","192.168.1.12","20.199.120.85","TCP","54","53760  >  443 [ACK] Seq=518 Ack=5841 Win=63104 Len=0"
"123","12.647970341","20.199.120.85","192.168.1.12","TLSv1.2","141","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
