"No.","Time","Source","Destination","Protocol","Length","Info"
"6","1.123369797","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","181","Application Data"
"7","1.123406832","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=1 Ack=94 Win=4404 Len=0 TSval=3661677209 TSecr=2509948897"
"8","1.128190778","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","180","Application Data"
"9","1.209475469","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  39412 [ACK] Seq=94 Ack=93 Win=1703 Len=0 TSval=2509949014 TSecr=3661677214"
"13","3.363043488","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","158","Application Data"
"14","3.457252623","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  39412 [ACK] Seq=94 Ack=163 Win=1703 Len=0 TSval=2509951263 TSecr=3661679449"
"15","3.537088599","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","160","Application Data"
"16","3.580113986","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=163 Ack=166 Win=4404 Len=0 TSval=3661679666 TSecr=2509951343"
"17","4.092909680","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","1468","443  >  39412 [ACK] Seq=166 Ack=163 Win=1703 Len=1380 TSval=2509951843 TSecr=3661679666 [TCP segment of a reassembled PDU]"
"18","4.092944510","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=163 Ack=1546 Win=4404 Len=0 TSval=3661680179 TSecr=2509951843"
