"No.","Time","Source","Destination","Protocol","Length","Info"
"5","3.379087926","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","157","Application Data"
"6","3.423786234","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TCP","88","443  >  40532 [ACK] Seq=1 Ack=70 Win=772 Len=0 TSval=2609976035 TSecr=921429540"
"7","3.584574325","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TLSv1.2","159","Application Data"
"8","3.584611845","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","40532  >  443 [ACK] Seq=70 Ack=72 Win=2122 Len=0 TSval=921429745 TSecr=2609976166"
"11","8.472936869","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","154","Application Data"
"12","8.516114549","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TCP","88","443  >  40532 [ACK] Seq=72 Ack=136 Win=772 Len=0 TSval=2609981128 TSecr=921434634"
"13","8.807516149","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TLSv1.2","198","Application Data"
"14","8.807560992","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","40532  >  443 [ACK] Seq=136 Ack=182 Win=2122 Len=0 TSval=921434968 TSecr=2609981374"
"21","21.373507571","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","157","Application Data"
"22","21.418121421","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TCP","88","443  >  40532 [ACK] Seq=182 Ack=205 Win=772 Len=0 TSval=2609994029 TSecr=921447534"
"23","21.606745431","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TLSv1.2","159","Application Data"
"24","21.606784246","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","40532  >  443 [ACK] Seq=205 Ack=253 Win=2122 Len=0 TSval=921447768 TSecr=2609994160"
"31","33.793550702","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cd91:9afe:93c7:a048","TLSv1.2","903","Application Data"
"32","33.793588797","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","40532  >  443 [ACK] Seq=205 Ack=1068 Win=2126 Len=0 TSval=921459954 TSecr=2610006298"
"33","34.313315770","2a10:8012:21:4188:cd91:9afe:93c7:a048","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","177","Application Data"
