"No.","Time","Source","Destination","Protocol","Length","Info"
"3","1.126085266","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","380","Application Data"
"4","1.126117460","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=1 Ack=295 Win=1953 Len=0 TSval=2448901846 TSecr=4197480203"
"5","1.465218702","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","163","Application Data"
"6","1.508713391","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","86","443  >  55414 [ACK] Seq=295 Ack=78 Win=1282 Len=0 TSval=4197480677 TSecr=2448902185"
"7","6.860831550","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","364","Application Data"
"8","6.860867049","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=78 Ack=573 Win=1953 Len=0 TSval=2448907581 TSecr=4197486021"
"11","7.284751791","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","163","Application Data"
"12","7.326913167","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","86","443  >  55414 [ACK] Seq=573 Ack=155 Win=1282 Len=0 TSval=4197486495 TSecr=2448908005"
"14","18.549370690","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","156","Application Data"
"15","18.593614271","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","86","443  >  55414 [ACK] Seq=573 Ack=225 Win=1282 Len=0 TSval=4197497761 TSecr=2448919269"
"16","18.679772935","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","158","Application Data"
"17","18.679811060","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=645 Win=1953 Len=0 TSval=2448919400 TSecr=4197497848"
"18","20.481571159","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","1599","Application Data"
"19","20.481611214","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=2158 Win=1942 Len=0 TSval=2448921202 TSecr=4197499605"
"20","20.485774975","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2681","Application Data"
"21","20.485775339","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","2846","443  >  55414 [PSH, ACK] Seq=4753 Ack=225 Win=1282 Len=2760 TSval=4197499623 TSecr=2448919400 [TCP segment of a reassembled PDU]"
"22","20.485775407","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"23","20.485814554","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=4753 Win=1937 Len=0 TSval=2448921206 TSecr=4197499609"
"24","20.485836943","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=7513 Win=1916 Len=0 TSval=2448921206 TSecr=4197499623"
"25","20.485842603","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=10273 Win=1895 Len=0 TSval=2448921206 TSecr=4197499637"
"26","20.486808440","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data, Application Data"
"27","20.486841044","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=13033 Win=1937 Len=0 TSval=2448921207 TSecr=4197499651"
"28","20.496604982","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"29","20.496641512","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=15793 Win=1937 Len=0 TSval=2448921217 TSecr=4197499665"
"30","20.510694078","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"31","20.510729448","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=18553 Win=1937 Len=0 TSval=2448921231 TSecr=4197499679"
"32","20.525179862","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","2846","443  >  55414 [PSH, ACK] Seq=18553 Ack=225 Win=1282 Len=2760 TSval=4197499693 TSecr=2448919400 [TCP segment of a reassembled PDU]"
"33","20.525216181","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=21313 Win=1937 Len=0 TSval=2448921245 TSecr=4197499693"
"34","20.538937416","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"35","20.538953784","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=24073 Win=1937 Len=0 TSval=2448921259 TSecr=4197499707"
"36","20.554001642","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"37","20.554036906","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=26833 Win=1937 Len=0 TSval=2448921274 TSecr=4197499721"
"38","20.566989735","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","1466","Application Data [TCP segment of a reassembled PDU]"
"39","20.567036263","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=28213 Win=1953 Len=0 TSval=2448921287 TSecr=4197499736"
"40","20.574201034","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","1466","443  >  55414 [ACK] Seq=28213 Ack=225 Win=1282 Len=1380 TSval=4197499743 TSecr=2448921217 [TCP segment of a reassembled PDU]"
"41","20.574234063","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=29593 Win=1953 Len=0 TSval=2448921294 TSecr=4197499743"
"42","20.581086831","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"43","20.581120958","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=32353 Win=1937 Len=0 TSval=2448921301 TSecr=4197499750"
"44","20.596131744","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","2846","Application Data [TCP segment of a reassembled PDU]"
"45","20.596181588","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=35113 Win=1937 Len=0 TSval=2448921316 TSecr=4197499764"
"46","20.609659543","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","1998","Application Data, Application Data"
"47","20.609679905","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=225 Ack=37025 Win=1937 Len=0 TSval=2448921330 TSecr=4197499778"
"48","21.241001335","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","179","Application Data"
"49","21.284892405","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","86","443  >  55414 [ACK] Seq=37025 Ack=318 Win=1282 Len=0 TSval=4197500453 TSecr=2448921961"
"50","24.473491354","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","179","Application Data"
"51","24.473525980","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=318 Ack=37118 Win=1953 Len=0 TSval=2448925194 TSecr=4197503542"
"52","24.477290287","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","178","Application Data"
"53","24.519863162","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","86","443  >  55414 [ACK] Seq=37118 Ack=410 Win=1282 Len=0 TSval=4197503688 TSecr=2448925197"
"54","27.443894526","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","1540","Application Data"
"55","27.444052151","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=410 Ack=38572 Win=1942 Len=0 TSval=2448928164 TSecr=4197506564"
"56","27.852408072","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","1540","Application Data"
"57","27.852526969","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","86","55414  >  443 [ACK] Seq=410 Ack=40026 Win=1937 Len=0 TSval=2448928573 TSecr=4197506917"
"58","27.890672717","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","160","[TCP Spurious Retransmission] 443  >  55414 [PSH, ACK] Seq=39952 Ack=410 Win=1282 Len=74 TSval=4197507059 TSecr=2448928164"
"59","27.890699136","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TCP","98","[TCP Window Update] 55414  >  443 [ACK] Seq=410 Ack=40026 Win=1953 Len=0 TSval=2448928611 TSecr=4197507059 SLE=39952 SRE=40026"
"60","27.930183124","2a10:8012:21:4188:cdf4:35bf:f239:2701","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","182","Application Data"
"61","27.971810134","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TCP","86","443  >  55414 [ACK] Seq=40026 Ack=506 Win=1282 Len=0 TSval=4197507141 TSecr=2448928650"
"62","28.031849814","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:cdf4:35bf:f239:2701","TLSv1.2","1540","Application Data"
