"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","230","Application Data"
"2","0.000040804","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=1 Ack=143 Win=2536 Len=0 TSval=2672802423 TSecr=1976553888"
"3","0.413747435","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","163","Application Data"
"4","0.520911889","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=143 Ack=76 Win=866 Len=0 TSval=1976554424 TSecr=2672802836"
"7","6.629572319","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","158","Application Data"
"8","6.710473247","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=143 Ack=146 Win=866 Len=0 TSval=1976560613 TSecr=2672809052"
"9","6.790799198","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","160","Application Data"
"10","6.790835934","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=146 Ack=215 Win=2536 Len=0 TSval=2672809213 TSecr=1976560693"
"21","21.606103071","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","891","Application Data"
"22","21.606144614","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=146 Ack=1018 Win=2558 Len=0 TSval=2672824029 TSecr=1976575429"
"27","22.083612186","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","187","Application Data"
"28","22.171767492","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=1018 Ack=245 Win=866 Len=0 TSval=1976576076 TSecr=2672824506"
"32","23.590837410","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","158","Application Data"
"33","23.669960730","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=1018 Ack=315 Win=866 Len=0 TSval=1976577573 TSecr=2672826013"
"34","23.752947864","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","160","Application Data"
"35","23.752981585","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=315 Ack=1090 Win=2558 Len=0 TSval=2672826176 TSecr=1976577653"
"42","43.106798860","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","390","Application Data"
"43","43.106840558","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=315 Ack=1392 Win=2579 Len=0 TSval=2672845529 TSecr=1976596991"
"44","43.516025855","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","207","Application Data"
"45","43.516058819","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=315 Ack=1511 Win=2579 Len=0 TSval=2672845939 TSecr=1976597312"
"46","43.521648486","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","182","Application Data"
"47","43.530974744","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","187","Application Data"
"48","43.599986445","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=1511 Ack=409 Win=866 Len=0 TSval=1976597502 TSecr=2672845944"
"49","43.612349651","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=1511 Ack=508 Win=866 Len=0 TSval=1976597515 TSecr=2672845954"
"51","47.509898312","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","364","Application Data"
"52","47.554010234","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=508 Ack=1787 Win=2601 Len=0 TSval=2672849977 TSecr=1976601346"
"53","47.674237508","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","160","Application Data"
"54","47.763794268","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=1787 Ack=580 Win=866 Len=0 TSval=1976601666 TSecr=2672850097"
"58","49.662437164","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","1468","443  >  44122 [ACK] Seq=1787 Ack=580 Win=866 Len=1380 TSval=1976603515 TSecr=2672850097 [TCP segment of a reassembled PDU]"
"59","49.662479564","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=580 Ack=3167 Win=2622 Len=0 TSval=2672852085 TSecr=1976603515"
"60","49.663087047","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","221","Application Data"
"61","49.663087345","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","2848","Application Data"
"62","49.663087396","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","497","Application Data"
"63","49.663118346","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=580 Ack=3300 Win=2622 Len=0 TSval=2672852086 TSecr=1976603515"
"64","49.663147713","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=580 Ack=6060 Win=2665 Len=0 TSval=2672852086 TSecr=1976603516"
"65","49.663156624","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=580 Ack=6469 Win=2687 Len=0 TSval=2672852086 TSecr=1976603519"
"66","50.055224686","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"67","50.136010948","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=6469 Ack=673 Win=866 Len=0 TSval=1976604037 TSecr=2672852478"
"68","50.246447317","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","158","Application Data"
"69","50.327933990","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=6469 Ack=743 Win=866 Len=0 TSval=1976604230 TSecr=2672852669"
"70","50.408770767","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","160","Application Data"
"71","50.408805495","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=743 Ack=6541 Win=2687 Len=0 TSval=2672852831 TSecr=1976604310"
"72","52.937279666","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","304","Application Data"
"73","52.937329375","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","44122  >  443 [ACK] Seq=743 Ack=6757 Win=2687 Len=0 TSval=2672855360 TSecr=1976606808"
"74","53.056698082","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","182","Application Data"
"75","53.124558163","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","163","Application Data"
"76","53.140995131","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  44122 [ACK] Seq=6757 Ack=837 Win=866 Len=0 TSval=1976607044 TSecr=2672855479"
