"No.","Time","Source","Destination","Protocol","Length","Info"
"4","1.551100103","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a00:a040:3:6::d539:18db","TCP","88","42656  >  443 [ACK] Seq=1 Ack=1 Win=8260 Len=0 TSval=2688268902 TSecr=731291186"
"5","1.567169751","2a00:a040:3:6::d539:18db","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","[TCP ACKed unseen segment] 443  >  42656 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=731336734 TSecr=2688178087"
"6","3.787618102","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","337","Application Data"
"7","3.787638268","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=250 Win=2193 Len=0 TSval=2406599792 TSecr=3064083458"
"8","4.094781917","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","337","Application Data"
"9","4.094801268","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=499 Win=2193 Len=0 TSval=2406600099 TSecr=3064083738"
"10","4.299316750","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","385","Application Data"
"11","4.299335969","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=796 Win=2215 Len=0 TSval=2406600304 TSecr=3064083945"
"12","4.504090299","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","353","Application Data"
"13","4.504111120","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=1061 Win=2236 Len=0 TSval=2406600509 TSecr=3064084178"
"14","4.811556843","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","385","Application Data"
"15","4.811585903","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=1358 Win=2258 Len=0 TSval=2406600816 TSecr=3064084437"
"16","5.119106636","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","369","Application Data"
"17","5.119128726","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=1639 Win=2280 Len=0 TSval=2406601124 TSecr=3064084797"
"18","5.323303854","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","369","Application Data"
"19","5.323370694","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=1920 Win=2301 Len=0 TSval=2406601328 TSecr=3064085033"
"20","7.269288587","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","369","Application Data"
"21","7.269320944","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=2201 Win=2323 Len=0 TSval=2406603274 TSecr=3064086981"
"23","7.576699669","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","353","Application Data"
"24","7.576734691","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=2466 Win=2344 Len=0 TSval=2406603581 TSecr=3064087219"
"25","8.088498071","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","369","Application Data"
"26","8.088530502","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1 Ack=2747 Win=2366 Len=0 TSval=2406604093 TSecr=3064087780"
"27","8.310488615","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","157","Application Data"
"28","8.312182330","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","401","Application Data"
"29","8.312207275","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=70 Ack=3060 Win=2387 Len=0 TSval=2406604317 TSecr=3064088033"
"30","8.503523833","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3060 Ack=70 Win=839 Len=0 TSval=3064088141 TSecr=2406604315"
"31","8.503927381","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","159","Application Data"
"32","8.503941512","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=70 Ack=3131 Win=2387 Len=0 TSval=2406604509 TSecr=3064088217"
"37","10.624961433","192.168.1.12","35.186.224.47","TLSv1.2","103","Application Data"
"38","10.643246133","35.186.224.47","192.168.1.12","TCP","68","443  >  55384 [ACK] Seq=1 Ack=36 Win=267 Len=0 TSval=3864455904 TSecr=509809795"
"39","10.715163882","35.186.224.47","192.168.1.12","TLSv1.2","99","Application Data"
"40","10.715211755","192.168.1.12","35.186.224.47","TCP","68","55384  >  443 [ACK] Seq=36 Ack=32 Win=501 Len=0 TSval=509809885 TSecr=3864455975"
"41","11.011656577","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","154","Application Data"
"42","11.096876594","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=136 Win=839 Len=0 TSval=3064090825 TSecr=2406607016"
"44","13.008680768","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","169","Application Data"
"45","13.010625589","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","169","Application Data"
"47","13.088961572","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=217 Win=839 Len=0 TSval=3064092815 TSecr=2406609013"
"48","13.089295425","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=298 Win=839 Len=0 TSval=3064092815 TSecr=2406609015"
"49","13.426296936","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"50","13.503092700","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=391 Win=839 Len=0 TSval=3064093231 TSecr=2406609431"
"52","13.863705514","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"53","13.942704199","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=484 Win=839 Len=0 TSval=3064093670 TSecr=2406609868"
"58","15.886961249","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2600:1901:1:c36::","TCP","88","58024  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3604480944 TSecr=1010194375"
"59","15.904503988","2600:1901:1:c36::","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","[TCP ACKed unseen segment] 443  >  58024 [ACK] Seq=1 Ack=2 Win=470 Len=0 TSval=1010239426 TSecr=3604300412"
"61","16.565844980","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","692","Application Data"
"62","16.644721338","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","1010","Application Data"
"63","16.644755994","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","46676  >  443 [ACK] Seq=605 Ack=923 Win=4427 Len=0 TSval=3109505798 TSecr=3897937523"
"64","16.645068580","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  46676 [ACK] Seq=1 Ack=605 Win=280 Len=0 TSval=3897937523 TSecr=3109505719"
"65","16.645072518","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","[TCP Dup ACK 63#1] 46676  >  443 [ACK] Seq=605 Ack=923 Win=4427 Len=0 TSval=3109505799 TSecr=3897937523"
"69","20.134060975","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"70","20.215978771","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=577 Win=839 Len=0 TSval=3064099944 TSecr=2406616139"
"71","20.653318657","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"72","20.732596463","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=670 Win=839 Len=0 TSval=3064100460 TSecr=2406616658"
"73","21.209162373","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"74","21.277147325","192.168.1.12","35.186.224.47","TLSv1.2","111","Application Data"
"75","21.286736518","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=763 Win=839 Len=0 TSval=3064101015 TSecr=2406617214"
"76","21.294687505","35.186.224.47","192.168.1.12","TCP","68","443  >  56432 [ACK] Seq=1 Ack=44 Win=268 Len=0 TSval=3401075166 TSecr=509820447"
"77","21.356515026","35.186.224.47","192.168.1.12","TLSv1.2","108","Application Data"
"78","21.356539003","192.168.1.12","35.186.224.47","TCP","68","56432  >  443 [ACK] Seq=44 Ack=41 Win=501 Len=0 TSval=509820526 TSecr=3401075228"
"79","22.168008883","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"81","22.245316475","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=856 Win=839 Len=0 TSval=3064101974 TSecr=2406618173"
"82","22.872836683","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"83","22.950053344","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=949 Win=839 Len=0 TSval=3064102679 TSecr=2406618877"
"84","23.154555608","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"85","23.239793111","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=1042 Win=839 Len=0 TSval=3064102969 TSecr=2406619159"
"86","23.414916299","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"89","23.493676695","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=1135 Win=839 Len=0 TSval=3064103222 TSecr=2406619419"
"90","23.672901791","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"91","23.751075523","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=1228 Win=839 Len=0 TSval=3064103480 TSecr=2406619677"
"92","24.511850425","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"93","24.588502568","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=1321 Win=839 Len=0 TSval=3064104317 TSecr=2406620516"
"100","26.131017041","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2600:1901:1:c36::","TCP","88","45392  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3604491188 TSecr=1389140273"
"101","26.154042573","2600:1901:1:c36::","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","[TCP ACKed unseen segment] 443  >  45392 [ACK] Seq=1 Ack=2 Win=313 Len=0 TSval=1389185315 TSecr=3604354339"
"115","30.571147415","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f276:1c2:face:b00c:0:167","TLSv1.2","112","Application Data"
"116","30.571190844","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f276:1c2:face:b00c:0:167","TCP","88","51680  >  443 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=2414035632 TSecr=2485985226"
"118","30.637798427","2a03:2880:f276:1c2:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","112","Application Data"
"119","30.637827405","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f276:1c2:face:b00c:0:167","TCP","76","51680  >  443 [RST] Seq=26 Win=0 Len=0"
"120","30.638420195","2a03:2880:f276:1c2:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  51680 [FIN, ACK] Seq=25 Ack=26 Win=287 Len=0 TSval=2486045302 TSecr=2414035632"
"121","30.638426225","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f276:1c2:face:b00c:0:167","TCP","76","51680  >  443 [RST] Seq=26 Win=0 Len=0"
"122","31.592561834","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","157","Application Data"
"123","31.669052302","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3131 Ack=1390 Win=839 Len=0 TSval=3064111398 TSecr=2406627597"
"124","31.749347018","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","159","Application Data"
"125","31.749382185","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1390 Ack=3202 Win=2387 Len=0 TSval=2406627754 TSecr=3064111478"
"127","40.510973415","192.168.1.12","146.75.122.248","TCP","68","47974  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=859853230 TSecr=3141059529"
"128","40.515039130","192.168.1.12","146.75.122.248","TCP","68","47978  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=859853234 TSecr=3845830832"
"129","40.592623064","146.75.122.248","192.168.1.12","TCP","68","[TCP ACKed unseen segment] 443  >  47974 [ACK] Seq=1 Ack=2 Win=287 Len=0 TSval=3141104613 TSecr=859717999"
"130","40.595630560","146.75.122.248","192.168.1.12","TCP","68","[TCP ACKed unseen segment] 443  >  47978 [ACK] Seq=1 Ack=2 Win=285 Len=0 TSval=3845875915 TSecr=859718074"
"131","41.598707660","192.168.1.12","35.186.224.47","TLSv1.2","103","Application Data"
"132","41.620051250","35.186.224.47","192.168.1.12","TCP","68","443  >  55384 [ACK] Seq=32 Ack=71 Win=267 Len=0 TSval=3864486879 TSecr=509840768"
"133","41.691748155","35.186.224.47","192.168.1.12","TLSv1.2","99","Application Data"
"134","41.691788793","192.168.1.12","35.186.224.47","TCP","68","55384  >  443 [ACK] Seq=71 Ack=63 Win=501 Len=0 TSval=509840861 TSecr=3864486951"
"135","46.607058977","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a00:a040:3:6::d539:18db","TCP","88","[TCP Dup ACK 4#1] 42656  >  443 [ACK] Seq=1 Ack=1 Win=8260 Len=0 TSval=2688313958 TSecr=731336734"
"136","46.624103789","2a00:a040:3:6::d539:18db","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","[TCP Dup ACK 5#1] [TCP ACKed unseen segment] 443  >  42656 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=731381790 TSecr=2688178087"
"137","46.996765474","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","157","Application Data"
"138","47.079185409","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=3202 Ack=1459 Win=839 Len=0 TSval=3064126806 TSecr=2406643001"
"139","47.157903924","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","159","Application Data"
"140","47.157936233","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1459 Ack=3273 Win=2387 Len=0 TSval=2406643162 TSecr=3064126885"
"145","51.357258651","192.168.1.12","35.186.224.47","TLSv1.2","111","Application Data"
"146","51.376743441","35.186.224.47","192.168.1.12","TCP","68","443  >  56432 [ACK] Seq=41 Ack=87 Win=268 Len=0 TSval=3401105247 TSecr=509850527"
"147","51.439113396","35.186.224.47","192.168.1.12","TLSv1.2","108","Application Data"
"148","51.439157083","192.168.1.12","35.186.224.47","TCP","68","56432  >  443 [ACK] Seq=87 Ack=81 Win=501 Len=0 TSval=509850609 TSecr=3401105309"
"163","60.943138589","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2600:1901:1:c36::","TCP","88","[TCP Dup ACK 58#1] 58024  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3604526000 TSecr=1010239426"
"164","60.959136733","2600:1901:1:c36::","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","[TCP Dup ACK 59#1] [TCP ACKed unseen segment] 443  >  58024 [ACK] Seq=1 Ack=2 Win=470 Len=0 TSval=1010284481 TSecr=3604300412"
"165","62.054123513","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","1468","443  >  50558 [ACK] Seq=3273 Ack=1459 Win=839 Len=1380 TSval=3064141685 TSecr=2406643162 [TCP segment of a reassembled PDU]"
"166","62.054155749","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1459 Ack=4653 Win=2409 Len=0 TSval=2406658059 TSecr=3064141685"
"167","62.054853870","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","221","Application Data"
"168","62.054853950","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","1345","Application Data"
"169","62.054863857","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1459 Ack=4786 Win=2409 Len=0 TSval=2406658059 TSecr=3064141685"
"170","62.054874335","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1459 Ack=6043 Win=2430 Len=0 TSval=2406658059 TSecr=3064141685"
"171","62.659103449","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"172","62.962976509","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","181","[TCP Retransmission] 50558  >  443 [PSH, ACK] Seq=1459 Ack=6043 Win=2430 Len=93 TSval=2406658968 TSecr=3064141685"
"173","63.041970741","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=6043 Ack=1552 Win=839 Len=0 TSval=3064142768 TSecr=2406658968"
"177","68.892492627","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","157","Application Data"
"178","68.972025162","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TCP","88","443  >  50558 [ACK] Seq=6043 Ack=1621 Win=839 Len=0 TSval=3064148698 TSecr=2406664897"
"179","69.052609906","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","TLSv1.2","159","Application Data"
"180","69.052640850","2a00:a041:3c5d:4d00:f026:68a8:26d8:6e81","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50558  >  443 [ACK] Seq=1621 Ack=6114 Win=2430 Len=0 TSval=2406665057 TSecr=3064148777"
