"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.12","157.240.253.60","TLSv1.2","134","Application Data"
"2","0.072139576","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=1 Ack=67 Win=696 Len=0 TSval=4012262698 TSecr=410020679"
"5","3.284461952","192.168.1.12","157.240.253.60","TCP","1448","36782  >  443 [ACK] Seq=67 Ack=1 Win=797 Len=1380 TSval=410023963 TSecr=4012262698 [TCP segment of a reassembled PDU]"
"6","3.284490266","192.168.1.12","157.240.253.60","TLSv1.2","796","Application Data"
"8","3.357742858","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=1 Ack=2175 Win=712 Len=0 TSval=4012265985 TSecr=410023963"
"9","3.717740974","157.240.253.60","192.168.1.12","TLSv1.2","179","Application Data"
"10","3.763142470","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=2175 Ack=112 Win=797 Len=0 TSval=410024442 TSecr=4012266194"
"11","4.332742212","157.240.253.60","192.168.1.12","TLSv1.2","162","Application Data"
"12","4.332783082","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=2175 Ack=206 Win=797 Len=0 TSval=410025012 TSecr=4012266878"
"13","4.338500382","192.168.1.12","157.240.253.60","TLSv1.2","161","Application Data"
"14","4.411261982","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=206 Ack=2268 Win=712 Len=0 TSval=4012267036 TSecr=410025017"
