"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","157","Application Data"
"5","0.078755170","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=1 Ack=70 Win=579 Len=0 TSval=3180550348 TSecr=2765500977"
"6","0.158515797","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","159","Application Data"
"7","0.158548406","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=70 Ack=72 Win=1170 Len=0 TSval=2765501136 TSecr=3180550429"
"15","4.834892125","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","1430","Application Data"
"16","4.834927896","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=70 Ack=1414 Win=1174 Len=0 TSval=2765505812 TSecr=3180555010"
"19","5.114741529","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"20","5.191444396","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=1414 Ack=163 Win=579 Len=0 TSval=3180555463 TSecr=2765506092"
"21","6.059509303","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.2","112","Application Data"
"22","6.059557048","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","38828  >  443 [FIN, ACK] Seq=25 Ack=1 Win=724 Len=0 TSval=3874257209 TSecr=2838204599"
"23","6.074920433","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.2","112","Application Data"
"24","6.074968182","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","38842  >  443 [FIN, ACK] Seq=25 Ack=1 Win=1234 Len=0 TSval=3874257224 TSecr=2164903221"
"25","6.078415968","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","100","443  >  38828 [ACK] Seq=1 Ack=1 Win=123 Len=0 TSval=2838264635 TSecr=3874197207 SLE=25 SRE=26"
"26","6.078859007","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  38828 [ACK] Seq=1 Ack=26 Win=123 Len=0 TSval=2838264635 TSecr=3874257209"
"27","6.078859193","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","112","Application Data"
"28","6.078910854","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","76","38828  >  443 [RST] Seq=26 Win=0 Len=0"
"29","6.079177813","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  38828 [FIN, ACK] Seq=25 Ack=26 Win=123 Len=0 TSval=2838264635 TSecr=3874257209"
"30","6.079196017","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","76","38828  >  443 [RST] Seq=26 Win=0 Len=0"
"31","6.086359633","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.2","112","Application Data"
"32","6.086406593","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","38830  >  443 [FIN, ACK] Seq=25 Ack=1 Win=972 Len=0 TSval=3874257236 TSecr=2943699257"
"33","6.097482952","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","100","443  >  38842 [ACK] Seq=1 Ack=1 Win=123 Len=0 TSval=2164963261 TSecr=3874197267 SLE=25 SRE=26"
"34","6.097970183","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  38842 [ACK] Seq=1 Ack=26 Win=123 Len=0 TSval=2164963261 TSecr=3874257224"
"35","6.097970410","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","112","Application Data"
"36","6.098031236","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","76","38842  >  443 [RST] Seq=26 Win=0 Len=0"
"37","6.098327508","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  38842 [FIN, ACK] Seq=25 Ack=26 Win=123 Len=0 TSval=2164963261 TSecr=3874257224"
"38","6.098345019","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","76","38842  >  443 [RST] Seq=26 Win=0 Len=0"
"39","6.104223071","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  38830 [ACK] Seq=1 Ack=25 Win=123 Len=0 TSval=2943759291 TSecr=3874257236"
"40","6.104384345","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","112","Application Data"
"41","6.104384423","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  38830 [FIN, ACK] Seq=25 Ack=26 Win=123 Len=0 TSval=2943759291 TSecr=3874257236"
"42","6.104416014","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","76","38830  >  443 [RST] Seq=26 Win=0 Len=0"
"43","6.104443181","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a00:a040:0:4:face:b00c:3333:7020","TCP","76","38830  >  443 [RST] Seq=26 Win=0 Len=0"
"44","6.207547808","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","154","Application Data"
"45","6.285430676","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=1414 Ack=229 Win=579 Len=0 TSval=3180556557 TSecr=2765507185"
"46","8.419224722","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","181","Application Data"
"47","8.419262385","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=229 Ack=1507 Win=1174 Len=0 TSval=2765509396 TSecr=3180558638"
"48","8.426439495","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","180","Application Data"
"49","8.498865896","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=1507 Ack=321 Win=579 Len=0 TSval=3180558771 TSecr=2765509404"
"56","12.089581129","192.168.1.12","213.57.23.97","TLSv1.2","92","Application Data"
"57","12.089631780","192.168.1.12","213.57.23.97","TCP","68","38982  >  443 [FIN, ACK] Seq=25 Ack=1 Win=914 Len=0 TSval=1506198639 TSecr=2439236612"
"58","12.110060518","213.57.23.97","192.168.1.12","TCP","80","443  >  38982 [ACK] Seq=1 Ack=1 Win=123 Len=0 TSval=2439296615 TSecr=1506138636 SLE=25 SRE=26"
"59","12.110591888","213.57.23.97","192.168.1.12","TCP","68","443  >  38982 [ACK] Seq=1 Ack=26 Win=123 Len=0 TSval=2439296615 TSecr=1506198639"
"60","12.110592071","213.57.23.97","192.168.1.12","TLSv1.2","92","Application Data"
"61","12.110592119","213.57.23.97","192.168.1.12","TCP","68","443  >  38982 [FIN, ACK] Seq=25 Ack=26 Win=123 Len=0 TSval=2439296615 TSecr=1506198639"
"62","12.110648765","192.168.1.12","213.57.23.97","TCP","56","38982  >  443 [RST] Seq=26 Win=0 Len=0"
"63","12.110672036","192.168.1.12","213.57.23.97","TCP","56","38982  >  443 [RST] Seq=26 Win=0 Len=0"
"64","12.527510379","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","112","Application Data"
"65","12.527561489","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","46144  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2207 Len=0 TSval=1649399815 TSecr=2586721309"
"66","12.605880636","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","100","443  >  46144 [ACK] Seq=1 Ack=1 Win=285 Len=0 TSval=2586781388 TSecr=1649339813 SLE=25 SRE=26"
