"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","337","Application Data"
"2","0.000041867","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=1 Ack=250 Win=1192 Len=0 TSval=2767650187 TSecr=3182699421"
"3","0.292854145","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"4","0.411690038","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=250 Ack=94 Win=896 Len=0 TSval=3182699878 TSecr=2767650480"
"5","0.716672150","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","181","Application Data"
"6","0.716707093","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=94 Ack=343 Win=1193 Len=0 TSval=2767650903 TSecr=3182700093"
"7","0.725291621","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","180","Application Data"
"8","0.810241187","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=343 Ack=186 Win=896 Len=0 TSval=3182700287 TSecr=2767650912"
"9","1.405931900","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","154","Application Data"
"10","1.485774556","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=343 Ack=252 Win=896 Len=0 TSval=3182700967 TSecr=2767651593"
