"No.","Time","Source","Destination","Protocol","Length","Info"
"40","7.055907289","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","1468","443  >  41660 [ACK] Seq=1 Ack=1 Win=1108 Len=1380 TSval=3186096118 TSecr=2771033728 [TCP segment of a reassembled PDU]"
"41","7.056151266","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","221","Application Data"
"42","7.056151466","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","1468","443  >  41660 [ACK] Seq=1514 Ack=1 Win=1108 Len=1380 TSval=3186096121 TSecr=2771033728 [TCP segment of a reassembled PDU]"
"43","7.056186664","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=1 Ack=1514 Win=1182 Len=0 TSval=2771046933 TSecr=3186096118"
"44","7.056244175","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","693","Application Data, Application Data"
"45","7.056359688","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","41660  >  443 [ACK] Seq=1 Ack=3499 Win=1167 Len=0 TSval=2771046933 TSecr=3186096121"
"49","7.269133792","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","181","Application Data"
"50","7.345250856","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=3499 Ack=94 Win=1108 Len=0 TSval=3186096513 TSecr=2771047146"
"52","8.079652886","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TLSv1.2","181","Application Data"
"53","8.086398026","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","180","Application Data"
"54","8.161457999","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=3592 Ack=186 Win=1108 Len=0 TSval=3186097329 TSecr=2771047963"
"55","9.129655827","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","154","Application Data"
"56","9.207583272","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:424b:6377:a930:43d","TCP","88","443  >  41660 [ACK] Seq=3592 Ack=252 Win=1108 Len=0 TSval=3186098374 TSecr=2771049006"
"62","10.117078908","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","112","Application Data"
"63","10.117130050","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","50938  >  443 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=2771049994 TSecr=4083240911"
"64","10.124522410","2a00:a041:3c5d:4d00:424b:6377:a930:43d","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","112","Application Data"
