"No.","Time","Source","Destination","Protocol","Length","Info"
"16","2.359586086","10.0.0.37","140.82.113.25","TLSv1.2","94","Application Data"
"17","2.359606626","10.0.0.37","172.217.22.2","TCP","66","32956  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=469301378 TSecr=1049010720"
"18","2.359996041","10.0.0.37","140.82.113.25","TCP","94","[TCP Retransmission] 53610  >  443 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=28 TSval=1466019025 TSecr=3318261156"
"19","2.360360764","10.0.0.37","172.217.22.2","TCP","66","[TCP Out-Of-Order] 32956  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=469302375 TSecr=1049010720"
"20","2.389700410","172.217.22.2","10.0.0.37","TCP","80","443  >  32956 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=1049026551 TSecr=469302375 SLE=1 SRE=2"
"21","2.389700750","172.217.22.2","10.0.0.37","TCP","68","443  >  32956 [FIN, ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=1049026551 TSecr=469302375"
"22","2.389784141","10.0.0.37","172.217.22.2","TCP","66","32956  >  443 [ACK] Seq=2 Ack=2 Win=501 Len=0 TSval=469302404 TSecr=1049026551"
"24","2.457670758","2a10:8012:15:af5e:c336:78fe:e399:341e","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","114","Application Data"
"25","2.457689082","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:808::2002","TCP","86","47162  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2103319606 TSecr=1030512243"
"26","2.457692718","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:808::2003","TCP","86","33464  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=137825961 TSecr=3544310347"
"27","2.457695780","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","56434  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=1559433148"
"28","2.457699519","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:809::2002","TCP","86","46514  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3161087835 TSecr=2358493816"
"29","2.457702581","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4013:c14::71","TCP","86","54616  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=481477081 TSecr=3976675187"
"30","2.457705791","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:801::2016","TCP","86","37796  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=684818437 TSecr=3767073552"
"31","2.457709358","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:801::2016","TCP","86","37798  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=684818437 TSecr=3651604863"
"32","2.457713517","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:801::2003","TCP","86","51888  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=518449171 TSecr=3198643436"
"33","2.457716431","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:809::200a","TCP","86","58102  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=151470425 TSecr=700662188"
"34","2.457719442","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:800::2001","TCP","86","57846  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=601474258 TSecr=2154402837"
"35","2.457722705","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:802::200e","TCP","86","41082  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=101099907 TSecr=3708138042"
"36","2.457725930","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:802::200e","TCP","86","33368  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=101099907 TSecr=4234779405"
"37","2.457728769","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","51676  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=2516647934"
"38","2.457732012","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","59668  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=1068993009"
"39","2.457734880","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","60948  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=2469962495"
"40","2.457738124","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","59652  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=3223754566"
"41","2.457741104","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:808::2006","TCP","86","53680  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1144724955 TSecr=3027534081"
"42","2.457744239","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:809::2003","TCP","86","37288  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1660269908 TSecr=4233298155"
"43","2.457747143","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:809::2003","TCP","86","37296  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1660269908 TSecr=1905797673"
"44","2.457749977","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","60942  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=325880260"
"45","2.457752793","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:802::200e","TCP","86","33352  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=101099907 TSecr=656094583"
"46","2.457755737","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:803::200e","TCP","86","60944  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2823249409 TSecr=2516660222"
"56","2.458295829","2a10:8012:15:af5e:c336:78fe:e399:341e","2a03:2880:f242:c8:face:b00c:0:167","TCP","114","[TCP Retransmission] 58992  >  443 [PSH, ACK] Seq=1 Ack=1 Win=12369 Len=28 TSval=3290085128 TSecr=4236592723"
"57","2.458598172","2a10:8012:15:af5e:c336:78fe:e399:341e","2a00:1450:4028:808::2002","TCP","86","[TCP Out-Of-Order] 47162  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2103320701 TSecr=1030512243"
