"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","160","Application Data"
"2","0.000022209","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=1 Ack=73 Win=4404 Len=0 TSval=3660943979 TSecr=2509215698"
"25","28.952507471","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","158","Application Data"
"26","29.038825458","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  39412 [ACK] Seq=73 Ack=71 Win=1649 Len=0 TSval=2509244738 TSecr=3660972931"
"27","29.121223865","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","160","Application Data"
"28","29.121258844","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=71 Ack=145 Win=4404 Len=0 TSval=3660973100 TSecr=2509244818"
"40","48.680053193","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","311","Application Data"
"41","48.680094964","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=71 Ack=368 Win=4404 Len=0 TSval=3660992659 TSecr=2509264337"
"42","48.713087157","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","162","Application Data"
"43","49.042923388","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","162","[TCP Retransmission] 39412  >  443 [PSH, ACK] Seq=71 Ack=368 Win=4404 Len=74 TSval=3660993022 TSecr=2509264337"
"44","49.065612153","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","443  >  39412 [ACK] Seq=368 Ack=145 Win=1649 Len=0 TSval=2509264719 TSecr=3660992692"
"45","49.499493862","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","88","[TCP Dup ACK 44#1] 443  >  39412 [ACK] Seq=368 Ack=145 Win=1649 Len=0 TSval=2509265128 TSecr=3660993022"
"47","53.206796475","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TCP","1468","443  >  39412 [ACK] Seq=368 Ack=145 Win=1649 Len=1380 TSval=2509268832 TSecr=3660993022 [TCP segment of a reassembled PDU]"
"48","53.207005668","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","221","Application Data"
"49","53.207005757","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","TLSv1.2","2073","Application Data, Application Data"
"50","53.207029942","2a00:a041:3c5d:4d00:b981:f170:feac:7cf9","2a03:2880:f258:c8:face:b00c:0:167","TCP","88","39412  >  443 [ACK] Seq=145 Ack=1881 Win=4404 Len=0 TSval=3660997186 TSecr=2509268832"
