"No.","Time","Source","Destination","Protocol","Length","Info"
"9","6.934275793","2a10:8012:21:4188:c63c:3614:4d2b:1483","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","157","Application Data"
"10","6.988769565","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TCP","88","443  >  37170 [ACK] Seq=1 Ack=70 Win=365 Len=0 TSval=2103757311 TSecr=1503581084"
"11","7.169559418","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TLSv1.2","159","Application Data"
"12","7.169594733","2a10:8012:21:4188:c63c:3614:4d2b:1483","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","37170  >  443 [ACK] Seq=70 Ack=72 Win=501 Len=0 TSval=1503581319 TSecr=2103757437"
"18","16.692309225","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TLSv1.2","2848","Application Data"
"19","16.692348255","2a10:8012:21:4188:c63c:3614:4d2b:1483","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","37170  >  443 [ACK] Seq=70 Ack=2832 Win=480 Len=0 TSval=1503590842 TSecr=2103766928"
"20","16.692420985","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TLSv1.2","182","Application Data"
"21","16.692430209","2a10:8012:21:4188:c63c:3614:4d2b:1483","2a03:2880:f242:c8:face:b00c:0:167","TCP","88","37170  >  443 [ACK] Seq=70 Ack=2926 Win=480 Len=0 TSval=1503590842 TSecr=2103766929"
"22","17.159789465","2a10:8012:21:4188:c63c:3614:4d2b:1483","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","184","Application Data"
"23","17.207695911","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TCP","88","443  >  37170 [ACK] Seq=2926 Ack=166 Win=365 Len=0 TSval=2103767536 TSecr=1503591309"
"25","29.656673652","2a10:8012:21:4188:c63c:3614:4d2b:1483","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","157","Application Data"
"26","29.701060125","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TCP","88","443  >  37170 [ACK] Seq=2926 Ack=235 Win=365 Len=0 TSval=2103780034 TSecr=1503603806"
"27","29.901493303","2a03:2880:f242:c8:face:b00c:0:167","2a10:8012:21:4188:c63c:3614:4d2b:1483","TLSv1.2","159","Application Data"
