"No.","Time","Source","Destination","Protocol","Length","Info"
"2","1.639043610","157.240.221.60","192.168.1.12","TLSv1.2","148","Application Data"
"3","1.639087589","192.168.1.12","157.240.221.60","TCP","68","42240  >  443 [ACK] Seq=1 Ack=81 Win=501 Len=0 TSval=1292298823 TSecr=1403566018"
"4","1.662054364","157.240.221.60","192.168.1.12","TCP","148","[TCP Spurious Retransmission] 443  >  42240 [PSH, ACK] Seq=1 Ack=1 Win=437 Len=80 TSval=1403566301 TSecr=1292294607"
"5","1.662097054","192.168.1.12","157.240.221.60","TCP","80","[TCP Dup ACK 3#1] 42240  >  443 [ACK] Seq=1 Ack=81 Win=501 Len=0 TSval=1292298846 TSecr=1403566301 SLE=1 SRE=81"
"6","2.560692525","157.240.221.60","192.168.1.12","TLSv1.2","148","Application Data"
"7","2.560732708","192.168.1.12","157.240.221.60","TCP","68","42240  >  443 [ACK] Seq=1 Ack=161 Win=501 Len=0 TSval=1292299745 TSecr=1403567148"
"8","4.709975043","157.240.221.60","192.168.1.12","TLSv1.2","145","Application Data"
"9","4.710015204","192.168.1.12","157.240.221.60","TCP","68","42240  >  443 [ACK] Seq=1 Ack=238 Win=501 Len=0 TSval=1292301894 TSecr=1403569306"
"10","5.221942472","157.240.221.60","192.168.1.12","TLSv1.2","148","Application Data"
"11","5.221985620","192.168.1.12","157.240.221.60","TCP","68","42240  >  443 [ACK] Seq=1 Ack=318 Win=501 Len=0 TSval=1292302406 TSecr=1403569823"
"12","6.514688273","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:3:4:face:b00c:3333:7020","TLSv1.2","112","Application Data"
"13","6.514731900","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:3:4:face:b00c:3333:7020","TCP","88","39720  >  443 [FIN, ACK] Seq=25 Ack=1 Win=1715 Len=0 TSval=3235451329 TSecr=919255343"
"14","6.552508093","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.2","112","Application Data"
"15","6.552562547","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:3:4:face:b00c:3333:7020","TCP","76","39720  >  443 [RST] Seq=26 Win=0 Len=0"
"16","6.552604712","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","443  >  39720 [FIN, ACK] Seq=25 Ack=26 Win=123 Len=0 TSval=919315401 TSecr=3235451328"
"17","6.552613531","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:3:4:face:b00c:3333:7020","TCP","76","39720  >  443 [RST] Seq=26 Win=0 Len=0"
