"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.12","157.240.253.60","TLSv1.2","143","Application Data"
"2","0.067921550","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=1 Ack=76 Win=674 Len=0 TSval=4012175938 TSecr=409933920"
"9","0.271377188","157.240.253.60","192.168.1.12","TLSv1.2","131","Application Data"
"10","0.271426586","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=76 Ack=64 Win=797 Len=0 TSval=409934192 TSecr=4012176066"
"16","2.104251353","157.240.253.60","192.168.1.12","TLSv1.2","165","Application Data"
"17","2.104302337","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=76 Ack=161 Win=797 Len=0 TSval=409936025 TSecr=4012177943"
"18","2.734456038","157.240.253.60","192.168.1.12","TLSv1.2","320","Application Data"
"19","2.734524271","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=76 Ack=413 Win=797 Len=0 TSval=409936655 TSecr=4012178544"
"20","2.746744145","192.168.1.12","157.240.253.60","TCP","2828","36782  >  443 [PSH, ACK] Seq=76 Ack=413 Win=797 Len=2760 TSval=409936667 TSecr=4012178544 [TCP segment of a reassembled PDU]"
"21","2.747303943","192.168.1.12","157.240.253.60","TLSv1.2","200","Application Data"
"22","2.821464257","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=413 Ack=2836 Win=696 Len=0 TSval=4012178688 TSecr=409936667"
"23","2.822306295","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=413 Ack=2968 Win=696 Len=0 TSval=4012178688 TSecr=409936668"
"24","2.845347857","192.168.1.12","157.240.253.60","TLSv1.2","164","Application Data"
"25","2.914938108","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=413 Ack=3064 Win=696 Len=0 TSval=4012178784 TSecr=409936766"
"26","2.938386934","192.168.1.12","157.240.253.60","TLSv1.2","164","Application Data"
"27","3.025245062","157.240.253.60","192.168.1.12","TLSv1.2","179","Application Data"
"28","3.065757070","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=3160 Ack=524 Win=797 Len=0 TSval=409936986 TSecr=4012178878"
"29","3.333529739","157.240.253.60","192.168.1.12","TLSv1.2","162","Application Data"
"30","3.333569704","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=3160 Ack=618 Win=797 Len=0 TSval=409937254 TSecr=4012179167"
"31","3.337455765","192.168.1.12","157.240.253.60","TLSv1.2","161","Application Data"
"32","3.617848297","192.168.1.12","157.240.253.60","TCP","161","[TCP Retransmission] 36782  >  443 [PSH, ACK] Seq=3160 Ack=618 Win=797 Len=93 TSval=409937538 TSecr=4012179167"
"33","3.634642230","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=618 Ack=3253 Win=696 Len=0 TSval=4012179320 TSecr=409937258"
"34","3.704300219","157.240.253.60","192.168.1.12","TCP","68","[TCP Dup ACK 33#1] 443  >  36782 [ACK] Seq=618 Ack=3253 Win=696 Len=0 TSval=4012179574 TSecr=409937538"
"35","4.049284397","157.240.253.60","192.168.1.12","TLSv1.2","165","Application Data"
"36","4.089780764","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=3253 Ack=715 Win=797 Len=0 TSval=409938010 TSecr=4012179899"
"37","4.375705149","192.168.1.12","157.240.253.60","TLSv1.2","164","Application Data"
"38","4.443887477","157.240.253.60","192.168.1.12","TCP","68","443  >  36782 [ACK] Seq=715 Ack=3349 Win=696 Len=0 TSval=4012180314 TSecr=409938296"
"41","5.074164790","157.240.253.60","192.168.1.12","TLSv1.2","156","Application Data"
"42","5.074209485","192.168.1.12","157.240.253.60","TCP","68","36782  >  443 [ACK] Seq=3349 Ack=803 Win=797 Len=0 TSval=409938994 TSecr=4012180888"
"43","5.103905806","192.168.1.12","157.240.253.60","TLSv1.2","140","Application Data"
