"No.","Time","Source","Destination","Protocol","Length","Info"
"6","1.227840602","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.2","255","Application Data"
"7","1.227873287","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","58422  >  443 [ACK] Seq=1 Ack=168 Win=1601 Len=0 TSval=4265865101 TSecr=2392192033"
"8","1.234307232","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","180","Application Data"
"9","1.323042560","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","443  >  58422 [ACK] Seq=168 Ack=93 Win=440 Len=0 TSval=2392192212 TSecr=4265865107"
"10","1.410382047","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","182","Application Data"
"11","1.487818134","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","443  >  58422 [ACK] Seq=168 Ack=187 Win=440 Len=0 TSval=2392192378 TSecr=4265865283"
"18","2.947661867","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","157","Application Data"
"19","3.029963958","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","443  >  58422 [ACK] Seq=168 Ack=256 Win=440 Len=0 TSval=2392193920 TSecr=4265866821"
"20","3.172698189","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.2","159","Application Data"
"21","3.212921888","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","58422  >  443 [ACK] Seq=256 Ack=239 Win=1601 Len=0 TSval=4265867086 TSecr=2392194034"
"30","11.366297772","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  58422 [ACK] Seq=239 Ack=256 Win=440 Len=1380 TSval=2392202156 TSecr=4265867086 [TCP segment of a reassembled PDU]"
"31","11.366346484","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a03:2880:f258:1c3:face:b00c:0:167","TCP","88","58422  >  443 [ACK] Seq=256 Ack=1619 Win=1623 Len=0 TSval=4265875239 TSecr=2392202156"
"32","11.367144878","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.2","346","Application Data, Application Data"
