"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.12","157.240.253.60","TLSv1.2","92","Application Data"
"2","0.000058167","192.168.1.12","157.240.253.60","TCP","68","43198  >  443 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=403443025 TSecr=2042243293"
"3","0.004511432","192.168.1.12","157.240.253.60","TLSv1.2","92","Application Data"
"4","0.004560317","192.168.1.12","157.240.253.60","TCP","68","43196  >  443 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=403443029 TSecr=178766507"
"5","0.069165293","157.240.253.60","192.168.1.12","TCP","80","443  >  43198 [ACK] Seq=1 Ack=1 Win=271 Len=0 TSval=2042303395 TSecr=403383023 SLE=25 SRE=26"
"6","0.069695899","157.240.253.60","192.168.1.12","TCP","68","443  >  43198 [ACK] Seq=1 Ack=26 Win=271 Len=0 TSval=2042303395 TSecr=403443025"
"7","0.069696133","157.240.253.60","192.168.1.12","TLSv1.2","92","Application Data"
"8","0.069696259","157.240.253.60","192.168.1.12","TCP","68","443  >  43198 [FIN, ACK] Seq=25 Ack=26 Win=271 Len=0 TSval=2042303395 TSecr=403443025"
"9","0.069770113","192.168.1.12","157.240.253.60","TCP","56","43198  >  443 [RST] Seq=26 Win=0 Len=0"
"10","0.069801487","192.168.1.12","157.240.253.60","TCP","56","43198  >  443 [RST] Seq=26 Win=0 Len=0"
"11","0.072530283","157.240.253.60","192.168.1.12","TCP","80","443  >  43196 [ACK] Seq=1 Ack=1 Win=271 Len=0 TSval=178826603 TSecr=403383028 SLE=25 SRE=26"
"12","0.073043831","157.240.253.60","192.168.1.12","TCP","68","443  >  43196 [ACK] Seq=1 Ack=26 Win=271 Len=0 TSval=178826603 TSecr=403443029"
"13","0.073043999","157.240.253.60","192.168.1.12","TLSv1.2","92","Application Data"
"14","0.073044050","157.240.253.60","192.168.1.12","TCP","68","443  >  43196 [FIN, ACK] Seq=25 Ack=26 Win=271 Len=0 TSval=178826603 TSecr=403443029"
"15","0.073098667","192.168.1.12","157.240.253.60","TCP","56","43196  >  443 [RST] Seq=26 Win=0 Len=0"
"16","0.073126352","192.168.1.12","157.240.253.60","TCP","56","43196  >  443 [RST] Seq=26 Win=0 Len=0"
"18","1.493321758","192.168.1.12","157.240.253.60","TLSv1.2","686","Application Data"
"19","1.585686345","157.240.253.60","192.168.1.12","TCP","68","443  >  48158 [ACK] Seq=1 Ack=619 Win=608 Len=0 TSval=388834839 TSecr=403444518"
"20","1.797696128","157.240.253.60","192.168.1.12","TLSv1.2","179","Application Data"
"21","1.797742390","192.168.1.12","157.240.253.60","TCP","68","48158  >  443 [ACK] Seq=619 Ack=112 Win=831 Len=0 TSval=403444822 TSecr=388835025"
"22","2.411965332","157.240.253.60","192.168.1.12","TLSv1.2","162","Application Data"
"23","2.412004989","192.168.1.12","157.240.253.60","TCP","68","48158  >  443 [ACK] Seq=619 Ack=206 Win=831 Len=0 TSval=403445437 TSecr=388835644"
"24","2.418089979","192.168.1.12","157.240.253.60","TLSv1.2","161","Application Data"
"25","2.486081912","157.240.253.60","192.168.1.12","TCP","68","443  >  48158 [ACK] Seq=206 Ack=712 Win=608 Len=0 TSval=388835740 TSecr=403445443"
