"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::a8c:14f0:c17c:d903","ff02::2","ICMPv6","64","Router Solicitation"
"2","0.381335201","192.168.1.1","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"3","0.381335428","192.168.1.1","239.255.255.250","SSDP","442","NOTIFY * HTTP/1.1 "
"4","0.381335477","192.168.1.1","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1 "
"5","0.392632582","192.168.1.1","239.255.255.250","SSDP","362","NOTIFY * HTTP/1.1 "
"6","0.392632821","192.168.1.1","239.255.255.250","SSDP","406","NOTIFY * HTTP/1.1 "
"7","0.392632886","192.168.1.1","239.255.255.250","SSDP","382","NOTIFY * HTTP/1.1 "
"8","0.406491637","192.168.1.1","239.255.255.250","SSDP","436","NOTIFY * HTTP/1.1 "
"9","0.406492012","192.168.1.1","239.255.255.250","SSDP","434","NOTIFY * HTTP/1.1 "
"10","0.406492063","192.168.1.1","239.255.255.250","SSDP","438","NOTIFY * HTTP/1.1 "
"11","0.409037120","192.168.1.1","239.255.255.250","SSDP","430","NOTIFY * HTTP/1.1 "
"12","1.189359591","157.240.221.60","192.168.1.12","TCP","1448","443  >  42542 [ACK] Seq=1 Ack=1 Win=931 Len=1380 TSval=3818557591 TSecr=1288241800 [TCP segment of a reassembled PDU]"
"13","1.189425235","192.168.1.12","157.240.221.60","TCP","68","42542  >  443 [ACK] Seq=1 Ack=1381 Win=1066 Len=0 TSval=1288251939 TSecr=3818557591"
"14","1.189886749","157.240.221.60","192.168.1.12","TLSv1.2","386","Application Data, Application Data"
"15","1.189919117","192.168.1.12","157.240.221.60","TCP","68","42542  >  443 [ACK] Seq=1 Ack=1699 Win=1066 Len=0 TSval=1288251940 TSecr=3818557591"
"16","1.489260822","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2600:1901:1:c36::","TCP","88","42850  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=591582846 TSecr=4160096355"
"17","1.506285466","2600:1901:1:c36::","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","[TCP ACKed unseen segment] 443  >  42850 [ACK] Seq=1 Ack=2 Win=268 Len=0 TSval=4160141409 TSecr=591311237"
"18","1.574127601","157.240.221.60","192.168.1.12","TLSv1.2","161","Application Data"
"19","1.574170434","192.168.1.12","157.240.221.60","TCP","68","42542  >  443 [ACK] Seq=1 Ack=1792 Win=1066 Len=0 TSval=1288252324 TSecr=3818558033"
"20","1.577934707","192.168.1.12","157.240.221.60","TLSv1.2","160","Application Data"
"21","1.654193965","157.240.221.60","192.168.1.12","TCP","68","443  >  42542 [ACK] Seq=1792 Ack=93 Win=931 Len=0 TSval=3818558113 TSecr=1288252328"
"22","2.067120970","192.168.1.12","157.240.221.60","TLSv1.2","146","Application Data"
"23","2.138969690","157.240.221.60","192.168.1.12","TCP","68","443  >  42542 [ACK] Seq=1792 Ack=171 Win=931 Len=0 TSval=3818558598 TSecr=1288252817"
"24","2.417763423","fe80::e2ce:c3ff:fe1a:1978","ff02::1","ICMPv6","176","Router Advertisement from e0:ce:c3:1a:19:78"
"25","2.429110762","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","152","Multicast Listener Report Message v2"
"26","2.698984531","192.168.1.12","157.240.221.60","TLSv1.2","161","Application Data"
