"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.214.60","192.168.1.12","TCP","578","443  >  58402 [ACK] Seq=1 Ack=1 Win=1219 Len=512 TSval=3599923325 TSecr=4149047032 [TCP segment of a reassembled PDU]"
"2","0.000048896","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=1 Ack=513 Win=1159 Len=0 TSval=4149052214 TSecr=3599923325"
"3","0.000715487","157.240.214.60","192.168.1.12","TCP","578","443  >  58402 [PSH, ACK] Seq=513 Ack=1 Win=1219 Len=512 TSval=3599923325 TSecr=4149047032 [TCP segment of a reassembled PDU]"
"4","0.000741503","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=1 Ack=1025 Win=1159 Len=0 TSval=4149052215 TSecr=3599923325"
"5","0.000760743","157.240.214.60","192.168.1.12","TLSv1.2","509","Application Data"
"6","0.000767579","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=1 Ack=1468 Win=1156 Len=0 TSval=4149052215 TSecr=3599923325"
"8","1.631814653","192.168.1.12","157.240.214.60","TLSv1.2","159","Application Data"
"9","1.715354783","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=1468 Ack=94 Win=1219 Len=0 TSval=3599925125 TSecr=4149053846"
"10","5.938117741","157.240.214.60","192.168.1.12","TLSv1.2","159","Application Data"
"11","5.938173977","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=94 Ack=1561 Win=1159 Len=0 TSval=4149058152 TSecr=3599929276"
"12","5.947256467","192.168.1.12","157.240.214.60","TLSv1.2","158","Application Data"
"13","6.033283996","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=1561 Ack=186 Win=1219 Len=0 TSval=3599929437 TSecr=4149058161"
"14","9.329193147","192.168.1.12","157.240.214.60","TLSv1.2","132","Application Data"
"15","9.408024084","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=1561 Ack=252 Win=1219 Len=0 TSval=3599932823 TSecr=4149061543"
"16","9.960396136","192.168.1.12","157.240.214.60","TLSv1.2","135","Application Data"
"17","10.037942766","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=1561 Ack=321 Win=1219 Len=0 TSval=3599933452 TSecr=4149062174"
"18","10.240053972","157.240.214.60","192.168.1.12","TLSv1.2","137","Application Data"
"19","10.282169485","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=321 Ack=1632 Win=1159 Len=0 TSval=4149062496 TSecr=3599933567"
"25","26.481816075","192.168.1.12","157.240.214.60","TLSv1.2","135","Application Data"
"26","26.556719080","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=1632 Ack=390 Win=1219 Len=0 TSval=3599949970 TSecr=4149078696"
"27","26.749414655","157.240.214.60","192.168.1.12","TLSv1.2","137","Application Data"
"28","26.749457975","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=390 Ack=1703 Win=1159 Len=0 TSval=4149078963 TSecr=3599950084"
