"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.12","157.240.221.60","TLSv1.2","138","Application Data"
"2","0.074775440","157.240.221.60","192.168.1.12","TCP","68","443  >  57644 [ACK] Seq=1 Ack=71 Win=696 Len=0 TSval=2362276369 TSecr=3997026889"
"3","1.883749531","192.168.1.12","157.240.221.60","TLSv1.2","158","Application Data"
"4","1.958344809","157.240.221.60","192.168.1.12","TCP","68","443  >  57644 [ACK] Seq=1 Ack=161 Win=696 Len=0 TSval=2362278253 TSecr=3997028773"
"5","2.079749145","192.168.1.12","157.240.221.60","TCP","2828","57644  >  443 [PSH, ACK] Seq=161 Ack=1 Win=2768 Len=2760 TSval=3997028969 TSecr=2362278253 [TCP segment of a reassembled PDU]"
"6","2.079783184","192.168.1.12","157.240.221.60","TCP","2828","57644  >  443 [PSH, ACK] Seq=2921 Ack=1 Win=2768 Len=2760 TSval=3997028969 TSecr=2362278253 [TCP segment of a reassembled PDU]"
"7","2.082128358","192.168.1.12","157.240.221.60","TCP","2828","57644  >  443 [PSH, ACK] Seq=5681 Ack=1 Win=2768 Len=2760 TSval=3997028971 TSecr=2362278253 [TCP segment of a reassembled PDU]"
"8","2.085296692","192.168.1.12","157.240.221.60","TCP","2828","57644  >  443 [PSH, ACK] Seq=8441 Ack=1 Win=2768 Len=2760 TSval=3997028975 TSecr=2362278253 [TCP segment of a reassembled PDU]"
"9","2.086969496","192.168.1.12","157.240.221.60","TLSv1.2","768","Application Data"
"10","2.128936148","157.240.221.60","192.168.1.12","TLSv1.2","391","Application Data"
"11","2.128974606","192.168.1.12","157.240.221.60","TCP","68","57644  >  443 [ACK] Seq=11901 Ack=324 Win=2790 Len=0 TSval=3997029018 TSecr=2362278424"
"12","2.165535980","157.240.221.60","192.168.1.12","TCP","68","443  >  57644 [ACK] Seq=324 Ack=1541 Win=706 Len=0 TSval=2362278461 TSecr=3997028969"
"13","2.182420372","157.240.221.60","192.168.1.12","TCP","68","443  >  57644 [ACK] Seq=324 Ack=2921 Win=717 Len=0 TSval=2362278474 TSecr=3997028969"
"14","2.182942151","157.240.221.60","192.168.1.12","TCP","68","443  >  57644 [ACK] Seq=324 Ack=4301 Win=728 Len=0 TSval=2362278474 TSecr=3997028969"
"15","2.182942308","157.240.221.60","192.168.1.12","TCP","68","443  >  57644 [ACK] Seq=324 Ack=5681 Win=739 Len=0 TSval=2362278474 TSecr=3997028969"
