"No.","Time","Source","Destination","Protocol","Length","Info"
"2","1.638712473","157.240.221.60","192.168.1.12","TLSv1.2","145","Application Data"
"3","1.638744485","192.168.1.12","157.240.221.60","TCP","68","55824  >  443 [ACK] Seq=1 Ack=78 Win=2849 Len=0 TSval=3999045745 TSecr=877072800"
"7","4.367950988","192.168.1.12","157.240.221.60","TLSv1.2","686","Application Data"
"8","4.448694407","157.240.221.60","192.168.1.12","TCP","68","443  >  55824 [ACK] Seq=78 Ack=619 Win=2038 Len=0 TSval=877075694 TSecr=3999048474"
"9","4.709836019","157.240.221.60","192.168.1.12","TLSv1.2","179","Application Data"
"10","4.709894740","192.168.1.12","157.240.221.60","TCP","68","55824  >  443 [ACK] Seq=619 Ack=189 Win=2849 Len=0 TSval=3999048816 TSecr=877075870"
"11","5.338325968","157.240.221.60","192.168.1.12","TLSv1.2","162","Application Data"
"12","5.338363833","192.168.1.12","157.240.221.60","TCP","68","55824  >  443 [ACK] Seq=619 Ack=283 Win=2849 Len=0 TSval=3999049444 TSecr=877076503"
"13","5.344558844","192.168.1.12","157.240.221.60","TLSv1.2","161","Application Data"
"14","5.423237826","157.240.221.60","192.168.1.12","TCP","68","443  >  55824 [ACK] Seq=283 Ack=712 Win=2038 Len=0 TSval=877076667 TSecr=3999049450"
"15","7.680054242","157.240.221.60","192.168.1.12","TLSv1.2","680","Application Data"
"16","7.722223937","192.168.1.12","157.240.221.60","TCP","68","55824  >  443 [ACK] Seq=712 Ack=895 Win=2849 Len=0 TSval=3999051828 TSecr=877078826"
