"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.18","224.0.0.251","MDNS","101","Standard query 0x0000 SRV Roku 3   1GJ37V014681._airplay._tcp.local, ""QU"" question"
"2","0.000000221","192.168.1.18","224.0.0.251","MDNS","182","Standard query response 0x0000 SRV, cache flush 0 0 7000 1GJ37V014681.local A, cache flush 192.168.1.18 NSEC, cache flush Roku 3   1GJ37V014681._airplay._tcp.local NSEC, cache flush 1GJ37V014681.local"
"3","2.557890207","192.168.1.10","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question"
"4","4.400858355","157.240.221.60","192.168.1.12","TLSv1.2","433","Application Data"
"5","4.444964934","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=1 Ack=368 Win=1015 Len=0 TSval=2064031189 TSecr=2016292866"
"6","5.030027882","192.168.1.12","157.240.221.60","TLSv1.2","165","Application Data"
"7","5.109089693","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=368 Ack=100 Win=376 Len=0 TSval=2016293633 TSecr=2064031774"
"8","6.039570073","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=368 Ack=100 Win=376 Len=1380 TSval=2016294472 TSecr=2064031774 [TCP segment of a reassembled PDU]"
"9","6.039616142","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=1748 Win=1005 Len=0 TSval=2064032784 TSecr=2016294472"
"10","6.040853891","157.240.221.60","192.168.1.12","TLSv1.2","199","Application Data"
"11","6.040853969","157.240.221.60","192.168.1.12","TLSv1.2","2826","Application Data"
"12","6.040854030","157.240.221.60","192.168.1.12","TLSv1.2","73","Application Data"
"13","6.040884197","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=1881 Win=1004 Len=0 TSval=2064032785 TSecr=2016294472"
"14","6.040899099","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=4641 Win=983 Len=0 TSval=2064032785 TSecr=2016294478"
"15","6.040904546","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=4648 Win=983 Len=0 TSval=2064032785 TSecr=2016294481"
"16","6.128970873","192.168.1.12","20.254.144.98","TCP","54","43880  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"17","6.221329838","20.254.144.98","192.168.1.12","TCP","60","[TCP ACKed unseen segment] 443  >  43880 [ACK] Seq=1 Ack=2 Win=2052 Len=0"
"18","6.318624950","192.168.1.12","157.240.221.60","TLSv1.2","159","Application Data"
"19","6.394313869","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4648 Ack=193 Win=376 Len=0 TSval=2016294917 TSecr=2064033063"
"20","6.405550665","157.240.221.60","192.168.1.12","TLSv1.2","972","Application Data"
"21","6.405586130","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=193 Ack=5554 Win=1008 Len=0 TSval=2064033150 TSecr=2016294929"
"22","6.765721463","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"23","6.806043651","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"24","6.806097289","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=289 Ack=5695 Win=1014 Len=0 TSval=2064033550 TSecr=2016295328"
"25","6.810567831","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
"26","6.887942247","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=5695 Ack=289 Win=376 Len=0 TSval=2016295411 TSecr=2064033510"
"27","6.904342176","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=5695 Ack=389 Win=376 Len=0 TSval=2016295428 TSecr=2064033555"
"28","7.576086081","fe80::e2ce:c3ff:fe1a:1978","ff02::1","ICMPv6","174","Router Advertisement from e0:ce:c3:1a:19:78"
"29","7.585095054","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"30","7.604986074","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"31","8.884707220","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TLSv1.2","110","Application Data"
"32","8.884751082","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","86","44140  >  443 [FIN, ACK] Seq=25 Ack=1 Win=12296 Len=0 TSval=3910286285 TSecr=3133331536"
"33","8.906093010","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","98","443  >  44140 [ACK] Seq=1 Ack=1 Win=123 Len=0 TSval=3133391568 TSecr=3910226284 SLE=25 SRE=26"
"34","8.906625638","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","443  >  44140 [ACK] Seq=1 Ack=26 Win=123 Len=0 TSval=3133391568 TSecr=3910286285"
"35","8.906625820","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TLSv1.2","110","Application Data"
"36","8.906671150","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","74","44140  >  443 [RST] Seq=26 Win=0 Len=0"
"37","8.906885452","2a00:a040:3:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","TCP","86","443  >  44140 [FIN, ACK] Seq=25 Ack=26 Win=123 Len=0 TSval=3133391568 TSecr=3910286285"
"38","8.906902795","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a00:a040:3:4:face:b00c:3333:7020","TCP","74","44140  >  443 [RST] Seq=26 Win=0 Len=0"
"39","10.032821113","157.240.221.60","192.168.1.12","TLSv1.2","161","Application Data"
"40","10.037839449","192.168.1.12","157.240.221.60","TLSv1.2","160","Application Data"
"41","10.114842350","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=5790 Ack=483 Win=376 Len=0 TSval=2016298638 TSecr=2064036782"
"42","12.593073695","192.168.1.10","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question"
"43","14.065087384","fe80::a8c:14f0:c17c:d903","fe80::e2ce:c3ff:fe1a:1978","ICMPv6","86","Neighbor Solicitation for fe80::e2ce:c3ff:fe1a:1978 from b0:7d:64:eb:49:20"
"44","14.069963227","fe80::e2ce:c3ff:fe1a:1978","fe80::a8c:14f0:c17c:d903","ICMPv6","78","Neighbor Advertisement fe80::e2ce:c3ff:fe1a:1978 (rtr, sol)"
"45","16.176843569","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=5790 Ack=483 Win=376 Len=1380 TSval=2016304612 TSecr=2064036782 [TCP segment of a reassembled PDU]"
"46","16.177359683","157.240.221.60","192.168.1.12","TLSv1.2","402","Application Data, Application Data"
"47","16.177555166","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=483 Ack=7506 Win=1002 Len=0 TSval=2064042922 TSecr=2016304612"
"48","16.484642259","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"49","16.487928836","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
"50","16.563576810","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=7647 Ack=583 Win=376 Len=0 TSval=2016305087 TSecr=2064043232"
"51","16.920404313","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"52","17.008100780","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=7647 Ack=679 Win=376 Len=0 TSval=2016305533 TSecr=2064043665"
"53","17.137075632","192.168.1.12","140.82.113.26","TCP","66","48184  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3822201159 TSecr=1909445898"
"54","17.161604461","192.168.1.12","157.240.221.60","TLSv1.2","135","Application Data"
"55","17.239961853","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=7647 Ack=748 Win=376 Len=0 TSval=2016305764 TSecr=2064043906"
"56","17.288443583","140.82.113.26","192.168.1.12","TCP","66","[TCP ACKed unseen segment] 443  >  48184 [ACK] Seq=1 Ack=2 Win=70 Len=0 TSval=1909491104 TSecr=3822155955"
"57","17.361039149","157.240.221.60","192.168.1.12","TLSv1.2","137","Application Data"
"58","17.405095667","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=748 Ack=7718 Win=1015 Len=0 TSval=2064044149 TSecr=2016305879"
"59","18.429367405","fe80::e2ce:c3ff:fe1a:1978","fe80::a8c:14f0:c17c:d903","ICMPv6","86","Neighbor Solicitation for fe80::a8c:14f0:c17c:d903 from e0:ce:c3:1a:19:78"
"60","18.429400966","fe80::a8c:14f0:c17c:d903","fe80::e2ce:c3ff:fe1a:1978","ICMPv6","78","Neighbor Advertisement fe80::a8c:14f0:c17c:d903 (sol)"
"61","21.619509549","fe80::e2ce:c3ff:fe1a:1978","ff02::1","ICMPv6","174","Router Advertisement from e0:ce:c3:1a:19:78"
"62","21.632954979","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"63","22.096953290","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"64","22.526161401","192.168.1.10","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question"
"65","22.630745217","fe80::a8c:14f0:c17c:d903","ff02::2","ICMPv6","62","Router Solicitation"
"66","22.801093354","192.168.1.12","20.199.120.85","TCP","54","41676  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"67","22.884988044","20.199.120.85","192.168.1.12","TCP","60","[TCP ACKed unseen segment] 443  >  41676 [ACK] Seq=1 Ack=2 Win=7969 Len=0"
"68","24.677055167","fe80::e2ce:c3ff:fe1a:1978","ff02::1","ICMPv6","174","Router Advertisement from e0:ce:c3:1a:19:78"
"69","24.689091987","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"70","25.684971908","fe80::a8c:14f0:c17c:d903","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"71","31.030313470","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=7718 Ack=748 Win=376 Len=1380 TSval=2016319452 TSecr=2064044149 [TCP segment of a reassembled PDU]"
"72","31.030356920","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=748 Ack=9098 Win=1005 Len=0 TSval=2064057775 TSecr=2016319452"
"73","31.030769367","157.240.221.60","192.168.1.12","TLSv1.2","402","Application Data, Application Data"
"74","31.030789436","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=748 Ack=9434 Win=1003 Len=0 TSval=2064057775 TSecr=2016319452"
"75","31.281842232","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"76","31.283803794","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"77","31.283827785","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=844 Ack=9575 Win=1014 Len=0 TSval=2064058028 TSecr=2016319799"
"78","31.360544612","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=9575 Ack=844 Win=376 Len=0 TSval=2016319885 TSecr=2064057775"
"79","31.425390523","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
"80","31.511566416","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=9575 Ack=944 Win=376 Len=0 TSval=2016320036 TSecr=2064058170"
"81","31.946125218","140.82.113.26","192.168.1.12","TLSv1.2","92","[TCP ACKed unseen segment] , Application Data"
"82","31.946333349","192.168.1.12","140.82.113.26","TLSv1.2","96","[TCP Previous segment not captured] , Application Data"
"83","32.150946328","140.82.113.26","192.168.1.12","TCP","66","[TCP ACKed unseen segment] 443  >  48184 [ACK] Seq=27 Ack=32 Win=70 Len=0 TSval=1909505916 TSecr=3822215969"
"84","32.561210256","192.168.1.10","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question"
