"No.","Time","Source","Destination","Protocol","Length","Info"
"4","4.400858355","157.240.221.60","192.168.1.12","TLSv1.2","433","Application Data"
"5","4.444964934","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=1 Ack=368 Win=1015 Len=0 TSval=2064031189 TSecr=2016292866"
"6","5.030027882","192.168.1.12","157.240.221.60","TLSv1.2","165","Application Data"
"7","5.109089693","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=368 Ack=100 Win=376 Len=0 TSval=2016293633 TSecr=2064031774"
"8","6.039570073","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=368 Ack=100 Win=376 Len=1380 TSval=2016294472 TSecr=2064031774 [TCP segment of a reassembled PDU]"
"9","6.039616142","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=1748 Win=1005 Len=0 TSval=2064032784 TSecr=2016294472"
"10","6.040853891","157.240.221.60","192.168.1.12","TLSv1.2","199","Application Data"
"11","6.040853969","157.240.221.60","192.168.1.12","TLSv1.2","2826","Application Data"
"12","6.040854030","157.240.221.60","192.168.1.12","TLSv1.2","73","Application Data"
"13","6.040884197","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=1881 Win=1004 Len=0 TSval=2064032785 TSecr=2016294472"
"14","6.040899099","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=4641 Win=983 Len=0 TSval=2064032785 TSecr=2016294478"
"15","6.040904546","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=100 Ack=4648 Win=983 Len=0 TSval=2064032785 TSecr=2016294481"
"16","6.128970873","192.168.1.12","20.254.144.98","TCP","54","43880  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"17","6.221329838","20.254.144.98","192.168.1.12","TCP","60","[TCP ACKed unseen segment] 443  >  43880 [ACK] Seq=1 Ack=2 Win=2052 Len=0"
"18","6.318624950","192.168.1.12","157.240.221.60","TLSv1.2","159","Application Data"
"19","6.394313869","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4648 Ack=193 Win=376 Len=0 TSval=2016294917 TSecr=2064033063"
"20","6.405550665","157.240.221.60","192.168.1.12","TLSv1.2","972","Application Data"
"21","6.405586130","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=193 Ack=5554 Win=1008 Len=0 TSval=2064033150 TSecr=2016294929"
"22","6.765721463","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"23","6.806043651","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"24","6.806097289","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=289 Ack=5695 Win=1014 Len=0 TSval=2064033550 TSecr=2016295328"
"25","6.810567831","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
