"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.12","157.240.214.60","TLSv1.2","1267","Application Data"
"2","0.243510533","157.240.214.60","192.168.1.12","TCP","68","443  >  37132 [ACK] Seq=1 Ack=1200 Win=750 Len=0 TSval=1041043914 TSecr=4023949317"
"3","0.448372440","157.240.214.60","192.168.1.12","TLSv1.2","155","Application Data"
"4","0.448406324","192.168.1.12","157.240.214.60","TCP","68","37132  >  443 [ACK] Seq=1200 Ack=88 Win=501 Len=0 TSval=4023949765 TSecr=1041044033"
"5","0.544375670","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2606:4700::6812:2a2","TCP","88","49290  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2691911332 TSecr=3258721416"
"6","0.755279426","2606:4700::6812:2a2","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TCP","88","[TCP ACKed unseen segment] 443  >  49290 [ACK] Seq=1 Ack=2 Win=8 Len=0 TSval=3258766474 TSecr=2691685341"
"7","0.755725722","157.240.214.60","192.168.1.12","TLSv1.2","148","Application Data"
"8","0.755769242","192.168.1.12","157.240.214.60","TCP","68","37132  >  443 [ACK] Seq=1200 Ack=168 Win=501 Len=0 TSval=4023950073 TSecr=1041044463"
"9","0.760677263","192.168.1.12","157.240.214.60","TLSv1.2","146","Application Data"
"10","0.959632293","157.240.214.60","192.168.1.12","TCP","68","443  >  37132 [ACK] Seq=168 Ack=1278 Win=750 Len=0 TSval=1041044673 TSecr=4023950078"
"13","2.592281208","192.168.1.12","34.36.57.103","TCP","68","37616  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3106894744 TSecr=2352100753"
"14","2.615641741","34.36.57.103","192.168.1.12","TCP","68","[TCP ACKed unseen segment] 443  >  37616 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=2352145809 TSecr=3106668000"
"16","3.315375968","2001:4860:4802:38::178","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TLSv1.2","161","Application Data"
"17","3.315409610","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2001:4860:4802:38::178","TCP","88","53176  >  443 [ACK] Seq=1 Ack=74 Win=501 Len=0 TSval=3987265377 TSecr=3217959882"
"18","3.367518804","2a00:1450:4028:803::2002","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TLSv1.2","161","Application Data"
"19","3.367562820","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2a00:1450:4028:803::2002","TCP","88","47658  >  443 [ACK] Seq=1 Ack=74 Win=501 Len=0 TSval=3931661271 TSecr=2433795718"
"20","6.688442989","192.168.1.12","44.216.219.92","TCP","68","55894  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=729977962 TSecr=284706923"
"21","6.901005855","20.199.120.85","192.168.1.12","TCP","62","443  >  38556 [FIN, ACK] Seq=1 Ack=1 Win=7969 Len=0"
"23","6.901606077","192.168.1.12","20.199.120.85","TCP","56","38556  >  443 [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0"
"24","6.997471318","20.199.120.85","192.168.1.12","TCP","62","443  >  38556 [ACK] Seq=2 Ack=2 Win=7969 Len=0"
"25","7.910940354","192.168.1.12","20.199.120.85","TCP","76","38662  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1159832776 TSecr=0 WS=128"
"26","7.991553560","20.199.120.85","192.168.1.12","TCP","68","443  >  38662 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=1 SACK_PERM=1"
"27","7.991610153","192.168.1.12","20.199.120.85","TCP","56","38662  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"28","7.992069569","192.168.1.12","20.199.120.85","TLSv1.2","573","Client Hello"
"29","8.067956996","20.199.120.85","192.168.1.12","TCP","1516","443  >  38662 [PSH, ACK] Seq=1 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"30","8.068011922","192.168.1.12","20.199.120.85","TCP","56","38662  >  443 [ACK] Seq=518 Ack=1461 Win=63104 Len=0"
"31","8.069035437","20.199.120.85","192.168.1.12","TCP","1516","443  >  38662 [PSH, ACK] Seq=1461 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"32","8.069045161","192.168.1.12","20.199.120.85","TCP","56","38662  >  443 [ACK] Seq=518 Ack=2921 Win=63104 Len=0"
"33","8.072437250","20.199.120.85","192.168.1.12","TCP","1516","443  >  38662 [PSH, ACK] Seq=2921 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"34","8.072471157","192.168.1.12","20.199.120.85","TCP","56","38662  >  443 [ACK] Seq=518 Ack=4381 Win=63104 Len=0"
"35","8.072927319","20.199.120.85","192.168.1.12","TCP","1516","443  >  38662 [PSH, ACK] Seq=4381 Ack=518 Win=7675 Len=1460 [TCP segment of a reassembled PDU]"
"36","8.072950334","192.168.1.12","20.199.120.85","TCP","56","38662  >  443 [ACK] Seq=518 Ack=5841 Win=63104 Len=0"
"37","8.142455550","20.199.120.85","192.168.1.12","TLSv1.2","143","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"38","8.142489083","192.168.1.12","20.199.120.85","TCP","56","38662  >  443 [ACK] Seq=518 Ack=5928 Win=64128 Len=0"
"39","8.150379916","192.168.1.12","20.199.120.85","TLSv1.2","214","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"40","8.223651146","2001:4860:4802:38::178","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TLSv1.2","144","Application Data"
"41","8.223686887","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2001:4860:4802:38::178","TCP","88","53176  >  443 [ACK] Seq=1 Ack=130 Win=501 Len=0 TSval=3987270286 TSecr=3217964882"
"42","8.223805657","2001:4860:4802:38::178","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TCP","88","443  >  53176 [FIN, ACK] Seq=130 Ack=1 Win=263 Len=0 TSval=3217964882 TSecr=3987265377"
"43","8.229831110","20.199.120.85","192.168.1.12","TLSv1.2","107","Change Cipher Spec, Encrypted Handshake Message"
"44","8.231631779","192.168.1.12","20.199.120.85","TLSv1.2","331","Application Data"
"45","8.264447376","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2001:4860:4802:38::178","TCP","88","53176  >  443 [ACK] Seq=1 Ack=131 Win=501 Len=0 TSval=3987270326 TSecr=3217964882"
"46","8.306360678","20.199.120.85","192.168.1.12","TLSv1.2","338","Application Data"
"47","8.307279026","192.168.1.12","20.199.120.85","TLSv1.2","210","Application Data"
"48","8.366568629","2a00:1450:4028:803::2002","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TLSv1.2","144","Application Data"
"49","8.366593597","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2a00:1450:4028:803::2002","TCP","88","47658  >  443 [ACK] Seq=1 Ack=130 Win=501 Len=0 TSval=3931666270 TSecr=2433800718"
"50","8.366650560","2a00:1450:4028:803::2002","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","TCP","88","443  >  47658 [FIN, ACK] Seq=130 Ack=1 Win=261 Len=0 TSval=2433800718 TSecr=3931661271"
"51","8.383421051","20.199.120.85","192.168.1.12","TLSv1.2","159","Application Data"
"52","8.384165225","192.168.1.12","20.199.120.85","TLSv1.2","540","Application Data"
"53","8.408270173","2a00:a041:3c5d:4d00:f27a:171e:3a3f:4952","2a00:1450:4028:803::2002","TCP","88","47658  >  443 [ACK] Seq=1 Ack=131 Win=501 Len=0 TSval=3931666312 TSecr=2433800718"
"54","8.639776371","20.199.120.85","192.168.1.12","TCP","62","443  >  38662 [ACK] Seq=6364 Ack=1589 Win=8192 Len=0"
"55","8.947390732","20.199.120.85","192.168.1.12","TLSv1.2","409","Application Data"
