"No.","Time","Source","Destination","Protocol","Length","Info"
"4","8.029799724","192.168.1.12","157.240.221.60","TLSv1.2","135","Application Data"
"5","8.109784704","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=1 Ack=70 Win=325 Len=0 TSval=2015792411 TSecr=2063530553"
"6","8.292459927","157.240.221.60","192.168.1.12","TLSv1.2","137","Application Data"
"7","8.292496506","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=70 Ack=72 Win=501 Len=0 TSval=2063530816 TSecr=2015792526"
"8","9.101839674","192.168.1.12","157.240.221.60","TLSv1.2","132","Application Data"
"9","9.178415252","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=72 Ack=136 Win=325 Len=0 TSval=2015793480 TSecr=2063531626"
"10","9.278210657","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=72 Ack=136 Win=325 Len=1380 TSval=2015793580 TSecr=2063531626 [TCP segment of a reassembled PDU]"
"11","9.278257243","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=136 Ack=1452 Win=493 Len=0 TSval=2063531802 TSecr=2015793580"
"12","9.278651205","157.240.221.60","192.168.1.12","TLSv1.2","416","Application Data, Application Data"
"13","9.278675077","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=136 Ack=1802 Win=493 Len=0 TSval=2063531802 TSecr=2015793580"
"14","9.730970747","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"15","9.808792725","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=1802 Ack=232 Win=325 Len=0 TSval=2015794111 TSecr=2063532255"
"81","23.242284641","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=1802 Ack=232 Win=325 Len=1380 TSval=2015807461 TSecr=2063532255 [TCP segment of a reassembled PDU]"
"82","23.242330613","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=232 Ack=3182 Win=493 Len=0 TSval=2063545766 TSecr=2015807461"
"83","23.242707615","157.240.221.60","192.168.1.12","TLSv1.2","292","Application Data, Application Data"
"84","23.242743041","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=232 Ack=3408 Win=493 Len=0 TSval=2063545766 TSecr=2015807461"
"85","23.586762467","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"86","23.664287079","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=3408 Ack=328 Win=325 Len=0 TSval=2015807966 TSecr=2063546110"
"94","29.898464778","157.240.221.60","192.168.1.12","TLSv1.2","944","Application Data"
"95","29.898508068","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=328 Ack=4286 Win=495 Len=0 TSval=2063552422 TSecr=2015813999"
"96","29.952231489","157.240.221.60","192.168.1.12","TCP","944","[TCP Spurious Retransmission] 443  >  45474 [PSH, ACK] Seq=3408 Ack=328 Win=325 Len=878 TSval=2015814253 TSecr=2063546110"
"97","29.952269218","192.168.1.12","157.240.221.60","TCP","78","[TCP Window Update] 45474  >  443 [ACK] Seq=328 Ack=4286 Win=501 Len=0 TSval=2063552476 TSecr=2015814253 SLE=3408 SRE=4286"
"98","30.005671178","192.168.1.12","157.240.221.60","TLSv1.2","135","Application Data"
"99","30.080008643","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4286 Ack=397 Win=325 Len=0 TSval=2015814383 TSecr=2063552529"
"100","30.205001175","157.240.221.60","192.168.1.12","TLSv1.2","137","Application Data"
"101","30.205035727","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=397 Ack=4357 Win=501 Len=0 TSval=2063552729 TSecr=2015814497"
"102","30.295966443","192.168.1.12","157.240.221.60","TLSv1.2","160","Application Data"
"103","30.371684895","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4357 Ack=491 Win=325 Len=0 TSval=2015814672 TSecr=2063552820"
"104","34.506378774","157.240.221.60","192.168.1.12","TLSv1.2","154","Application Data"
"105","34.506424383","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=491 Ack=4445 Win=501 Len=0 TSval=2063557030 TSecr=2015818713"
"106","34.510614265","192.168.1.12","157.240.221.60","TLSv1.2","147","Application Data"
"107","34.590097250","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4445 Ack=572 Win=325 Len=0 TSval=2015818893 TSecr=2063557034"
"108","36.349652842","157.240.221.60","192.168.1.12","TLSv1.2","171","Application Data"
"109","36.372572578","192.168.1.12","157.240.221.60","TLSv1.2","140","Application Data"
"110","36.451033596","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4550 Ack=646 Win=325 Len=0 TSval=2015820752 TSecr=2063558896"
"120","46.691369293","192.168.1.12","157.240.221.60","TLSv1.2","135","Application Data"
"121","46.768143785","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4550 Ack=715 Win=325 Len=0 TSval=2015831071 TSecr=2063569215"
"123","46.896379865","157.240.221.60","192.168.1.12","TLSv1.2","137","Application Data"
"124","46.937553053","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=715 Ack=4621 Win=501 Len=0 TSval=2063569461 TSecr=2015831185"
"127","49.866552194","157.240.221.60","192.168.1.12","TLSv1.2","231","Application Data"
"128","49.866599499","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=715 Ack=4786 Win=500 Len=0 TSval=2063572390 TSecr=2015834079"
"129","49.871249919","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
"130","49.948849862","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=4786 Ack=815 Win=325 Len=0 TSval=2015834251 TSecr=2063572395"
"144","57.547274939","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=4786 Ack=815 Win=325 Len=1380 TSval=2015841759 TSecr=2063572395 [TCP segment of a reassembled PDU]"
"145","57.548512621","157.240.221.60","192.168.1.12","TLSv1.2","548","Application Data, Application Data"
"146","57.548687233","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=815 Ack=6648 Win=493 Len=0 TSval=2063580072 TSecr=2015841759"
"147","57.853613580","157.240.221.60","192.168.1.12","TLSv1.2","1378","Application Data"
"148","57.896565704","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"149","57.896601579","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=815 Ack=8101 Win=493 Len=0 TSval=2063580420 TSecr=2015842053"
"150","57.899760299","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
"151","57.978821370","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=8101 Ack=915 Win=325 Len=0 TSval=2015842281 TSecr=2063580423"
"152","58.001787566","192.168.1.12","157.240.221.60","TLSv1.2","162","Application Data"
"153","58.037304652","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"154","58.041318322","192.168.1.12","157.240.221.60","TLSv1.2","166","Application Data"
"155","58.078408541","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=8242 Ack=1011 Win=325 Len=0 TSval=2015842380 TSecr=2063580525"
"156","58.123271592","157.240.221.60","192.168.1.12","TCP","66","443  >  45474 [ACK] Seq=8242 Ack=1111 Win=325 Len=0 TSval=2015842419 TSecr=2063580565"
"157","58.980166420","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=8242 Ack=1111 Win=325 Len=1380 TSval=2015843217 TSecr=2063580565 [TCP segment of a reassembled PDU]"
"158","58.980636493","157.240.221.60","192.168.1.12","TLSv1.2","516","Application Data, Application Data"
"159","58.980770178","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=1111 Ack=10072 Win=493 Len=0 TSval=2063581504 TSecr=2015843217"
"160","59.390897336","157.240.221.60","192.168.1.12","TLSv1.2","207","Application Data"
"161","59.433483883","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=1111 Ack=10213 Win=501 Len=0 TSval=2063581957 TSecr=2015843586"
"162","59.696844771","157.240.221.60","192.168.1.12","TCP","1446","443  >  45474 [ACK] Seq=10213 Ack=1111 Win=325 Len=1380 TSval=2015843937 TSecr=2063581957 [TCP segment of a reassembled PDU]"
"163","59.696892309","192.168.1.12","157.240.221.60","TCP","66","45474  >  443 [ACK] Seq=1111 Ack=11593 Win=493 Len=0 TSval=2063582221 TSecr=2015843937"
"164","59.697364904","157.240.221.60","192.168.1.12","TLSv1.2","190","Application Data"
