"No.","Time","Source","Destination","Protocol","Length","Info"
"8","3.376060703","192.168.1.12","157.240.221.60","TLSv1.2","135","Application Data"
"9","3.453656312","157.240.221.60","192.168.1.12","TCP","66","443  >  40778 [ACK] Seq=1 Ack=70 Win=393 Len=0 TSval=3751275027 TSecr=2062975803"
"10","3.581083284","157.240.221.60","192.168.1.12","TLSv1.2","137","Application Data"
"11","3.581117517","192.168.1.12","157.240.221.60","TCP","66","40778  >  443 [ACK] Seq=70 Ack=72 Win=501 Len=0 TSval=2062976008 TSecr=3751275141"
"12","3.785813956","140.82.113.26","192.168.1.12","TLSv1.2","92","Application Data"
"13","3.786332919","192.168.1.12","140.82.113.26","TLSv1.2","96","Application Data"
"14","3.993391235","140.82.113.26","192.168.1.12","TCP","66","443  >  51278 [ACK] Seq=27 Ack=31 Win=70 Len=0 TSval=1908423475 TSecr=3821133492"
"16","5.726038564","2a00:a041:3c5d:4d00:605e:f34d:a502:2044","2a01:111:202c::239","TCP","74","53782  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"18","9.012124059","192.168.1.12","157.240.251.60","TLSv1.2","90","Application Data"
"19","9.012173156","192.168.1.12","157.240.251.60","TCP","66","53064  >  443 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=818040015 TSecr=431512130"
"20","9.094516952","157.240.251.60","192.168.1.12","TLSv1.2","90","Application Data"
"21","9.094577870","192.168.1.12","157.240.251.60","TCP","54","53064  >  443 [RST] Seq=26 Win=0 Len=0"
"22","9.094962277","157.240.251.60","192.168.1.12","TCP","66","443  >  53064 [FIN, ACK] Seq=25 Ack=26 Win=267 Len=0 TSval=431572178 TSecr=818040015"
"23","9.094983527","192.168.1.12","157.240.251.60","TCP","54","53064  >  443 [RST] Seq=26 Win=0 Len=0"
"34","9.204062078","192.168.1.12","20.189.173.13","TCP","74","34754  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3302182802 TSecr=0 WS=128"
"35","9.355563613","192.168.1.12","20.189.173.13","TCP","74","34762  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3302182954 TSecr=0 WS=128"
"36","9.430876399","20.189.173.13","192.168.1.12","TCP","66","443  >  34754 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"37","9.430931726","192.168.1.12","20.189.173.13","TCP","54","34754  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"38","9.431364098","192.168.1.12","20.189.173.13","TLSv1.2","571","Client Hello"
"39","9.622415213","20.189.173.13","192.168.1.12","TCP","66","443  >  34762 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"40","9.622473384","192.168.1.12","20.189.173.13","TCP","54","34762  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
